contract_id,supplier_id,contract_tier,contract_effective_from,contract_effective_to,contract_superseded_by,fill_rate_sla_threshold,penalty_rate_pct,max_penalty_cap,currency,grace_period_days,auto_renew,payment_terms
CTR0055,SUP047,B,2024-01-01,,,0.93,0.03,100000.0,USD,0,True,Net 60
CTR0056,SUP048,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,1,True,Net 60
CTR0057,SUP049,B,2024-01-01,,,0.93,0.03,92000.0,EUR,1,True,Net 60
CTR0058,SUP050,C,2024-01-01,2024-12-31,,0.88,0.02,,USD,2,False,2/10 Net 30
CTR0059,SUP051,B,2024-01-01,2024-03-31,2024-02-01,0.93,0.03,79000.0,GBP,1,False,Net 60
CTR0060,SUP051,B,2024-02-01,2024-12-31,,0.93,0.05,316000.0,GBP,0,True,Net 60
CTR0061,SUP052,B,2024-01-01,,,0.93,0.03,100000.0,USD,0,True,2/10 Net 30
CTR0062,SUP053,A,2024-01-01,2024-12-31,,0.97,0.04,118000.0,GBP,2,True,Net 30
CTR0063,SUP054,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,True,Net 45
CTR0064,SUP055,C,2024-01-01,,,0.88,0.02,51000.0,GBP,0,True,Net 45
CTR0065,SUP056,C,2024-01-01,2024-03-31,2024-02-01,0.88,0.02,,GBP,0,False,2/10 Net 30
CTR0066,SUP056,C,2024-02-01,2024-12-31,,0.88,0.04,,GBP,0,True,Net 30
CTR0067,SUP057,A,2024-01-01,,,0.97,0.04,,GBP,0,True,Net 60
CTR0068,SUP058,C,2024-01-01,2024-12-31,,0.88,0.02,59500.0,EUR,2,False,Net 45
CTR0069,SUP059,B,2024-01-01,,,0.93,0.03,,EUR,1,True,Net 45
CTR0070,SUP060,B,2024-01-01,2024-12-31,,0.93,0.03,92000.0,EUR,1,True,Net 60
