contract_id,account_id,signed_date,start_date,end_date,term_months,auto_renew,status,billing_cycle,currency,list_price,negotiated_discount_pct,contracted_mrr,annual_contract_value,payment_terms_days,billing_contact_id,csm_id,legal_entity,pricing_model,committed_units,overage_rate_per_unit,unit_type,sla_tier,support_tier,implementation_included,data_region,arr,contract_owner,renewal_probability,primary_product_sku,created_by,created_at
CTR00011,ACC0009,2022-04-29,2022-05-06,2023-05-05,12,False,expired,monthly,GBP,5000.0,0.05,6750.0,81000.0,30,BIL1651,CSM20,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,81000.0,AE10,0.9,PRD-PLAT-ENT,CSM20,2022-04-29T09:00:00Z
CTR00012,ACC0009,2023-06-14,2023-07-09,2024-07-08,12,True,expired,monthly,GBP,5000.0,0.2,6000.0,72000.0,30,BIL2971,CSM20,Entity-4,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,72000.0,AE10,0.69,PRD-PLAT-ENT,CSM20,2023-06-14T09:00:00Z
CTR00013,ACC0010,2022-04-30,2022-05-21,2023-05-20,12,True,expired,monthly,GBP,5000.0,0.0,7000.0,84000.0,30,BIL2011,CSM20,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,84000.0,AE13,0.56,PRD-PLAT-ENT,CSM20,2022-04-30T09:00:00Z
CTR00014,ACC0010,2023-03-22,2023-04-18,2024-04-17,12,False,expired,monthly,GBP,5000.0,0.0,7000.0,84000.0,45,BIL3556,CSM20,Entity-3,flat,0,0.0,none,platinum,enterprise,False,us-east-1,84000.0,AE13,0.65,PRD-PLAT-ENT,CSM20,2023-03-22T09:00:00Z
CTR00015,ACC0011,2022-07-14,2022-08-01,2024-07-31,24,True,expired,monthly,USD,5000.0,0.05,7550.0,90600.0,30,BIL8376,CSM08,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,90600.0,AE02,0.75,PRD-PLAT-ENT,CSM08,2022-07-14T09:00:00Z
CTR00016,ACC0012,2022-12-29,2023-01-16,2024-01-15,12,True,expired,monthly,USD,5000.0,0.05,6750.0,81000.0,30,BIL7505,CSM11,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,81000.0,AE04,0.58,PRD-PLAT-ENT,CSM11,2022-12-29T09:00:00Z
CTR00017,ACC0012,2023-06-26,2023-07-19,2024-07-18,12,True,expired,monthly,USD,5000.0,0.1,6500.0,78000.0,45,BIL7823,CSM11,Entity-4,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,78000.0,AE04,0.86,PRD-PLAT-ENT,CSM11,2023-06-26T09:00:00Z
CTR00018,ACC0012,2022-07-19,2022-08-17,2024-08-16,24,True,expired,monthly,USD,5000.0,0.15,6250.0,75000.0,30,BIL2710,CSM11,Entity-3,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,75000.0,AE04,0.84,PRD-PLAT-ENT,CSM11,2022-07-19T09:00:00Z
CTR00019,ACC0013,2023-10-22,2023-11-13,2025-11-12,24,True,active,monthly,USD,5000.0,0.05,6800.0,81600.0,45,BIL4818,CSM03,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,81600.0,AE05,0.7,PRD-PLAT-ENT,CSM03,2023-10-22T09:00:00Z
CTR00020,ACC0013,2022-01-18,2022-02-07,2023-02-06,12,False,expired,monthly,USD,5000.0,0.1,6500.0,78000.0,30,BIL2710,CSM03,Entity-2,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE05,0.95,PRD-PLAT-ENT,CSM03,2022-01-18T09:00:00Z
CTR00021,ACC0014,2023-05-27,2023-06-05,2025-06-04,24,True,expired,monthly,EUR,5000.0,0.0,7350.0,88200.0,30,BIL7701,CSM18,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,88200.0,AE11,0.97,PRD-PLAT-ENT,CSM18,2023-05-27T09:00:00Z
CTR00022,ACC0014,2022-03-29,2022-04-13,2023-04-12,12,False,expired,monthly,EUR,5000.0,0.1,6500.0,78000.0,60,BIL9849,CSM18,Entity-3,flat,0,0.0,none,platinum,enterprise,False,us-west-2,78000.0,AE11,0.86,PRD-PLAT-ENT,CSM18,2022-03-29T09:00:00Z
CTR00023,ACC0015,2024-04-04,2024-04-18,2025-04-17,12,False,expired,monthly,USD,5000.0,0.05,8250.0,99000.0,30,BIL9959,CSM07,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,99000.0,AE07,0.61,PRD-PLAT-ENT,CSM07,2024-04-04T09:00:00Z
CTR00024,ACC0016,2023-09-14,2023-10-10,2024-10-09,12,True,expired,monthly,GBP,5000.0,0.0,8500.0,102000.0,30,BIL9150,CSM13,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,102000.0,AE10,0.7,PRD-PLAT-ENT,CSM13,2023-09-14T09:00:00Z
CTR00025,ACC0017,2023-08-27,2023-09-05,2025-09-04,24,True,active,monthly,USD,5000.0,0.1,7000.0,84000.0,30,BIL4150,CSM20,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,84000.0,AE09,0.69,PRD-PLAT-ENT,CSM20,2023-08-27T09:00:00Z
CTR00026,ACC0017,2022-09-01,2022-09-19,2023-09-18,12,False,expired,monthly,USD,5000.0,0.1,6500.0,78000.0,45,BIL4579,CSM20,Entity-4,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,78000.0,AE09,0.73,PRD-PLAT-ENT,CSM20,2022-09-01T09:00:00Z
CTR00027,ACC0018,2024-10-09,2024-10-18,2026-10-17,24,True,active,monthly,GBP,5000.0,0.05,9250.0,111000.0,60,BIL2114,CSM06,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,111000.0,AE01,0.96,PRD-PLAT-ENT,CSM06,2024-10-09T09:00:00Z
CTR00028,ACC0019,2023-09-20,2023-10-16,2024-10-15,12,True,expired,monthly,USD,5000.0,0.05,9250.0,111000.0,60,BIL8275,CSM07,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,111000.0,AE08,0.81,PRD-PLAT-ENT,CSM07,2023-09-20T09:00:00Z
CTR00029,ACC0019,2024-06-21,2024-07-19,2026-07-18,24,True,active,monthly,USD,5000.0,0.15,6250.0,75000.0,45,BIL4143,CSM07,Entity-4,flat,0,0.0,none,platinum,enterprise,False,us-east-1,75000.0,AE08,0.87,PRD-PLAT-ENT,CSM07,2024-06-21T09:00:00Z
CTR00030,ACC0020,2023-08-05,2023-08-14,2024-08-13,12,True,expired,monthly,USD,5000.0,0.0,9000.0,108000.0,60,BIL3780,CSM11,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,108000.0,AE04,0.8,PRD-PLAT-ENT,CSM11,2023-08-05T09:00:00Z
CTR00031,ACC0020,2024-03-24,2024-04-20,2026-04-19,24,True,active,monthly,USD,5000.0,0.2,6000.0,72000.0,30,BIL6070,CSM11,Entity-2,flat,0,0.0,none,platinum,enterprise,False,us-east-1,72000.0,AE04,0.76,PRD-PLAT-ENT,CSM11,2024-03-24T09:00:00Z
CTR00032,ACC0020,2024-06-21,2024-07-17,2025-07-16,12,False,active,monthly,USD,5000.0,0.15,6250.0,75000.0,45,BIL7511,CSM11,Entity-5,flat,0,0.0,none,platinum,enterprise,False,us-east-1,75000.0,AE04,0.81,PRD-PLAT-ENT,CSM11,2024-06-21T09:00:00Z
CTR00033,ACC0021,2024-04-08,2024-05-07,2026-05-06,24,False,active,monthly,GBP,5000.0,0.05,6750.0,81000.0,30,BIL5949,CSM07,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,81000.0,AE03,0.63,PRD-PLAT-ENT,CSM07,2024-04-08T09:00:00Z
CTR00034,ACC0021,2023-10-05,2023-10-17,2024-10-16,12,True,expired,monthly,GBP,5000.0,0.1,6500.0,78000.0,30,BIL5840,CSM07,Entity-5,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE03,0.88,PRD-PLAT-ENT,CSM07,2023-10-05T09:00:00Z
CTR00035,ACC0021,2023-10-18,2023-11-12,2026-11-11,36,True,active,monthly,GBP,5000.0,0.1,6500.0,78000.0,45,BIL1244,CSM07,Entity-4,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE03,0.85,PRD-PLAT-ENT,CSM07,2023-10-18T09:00:00Z
CTR00036,ACC0022,2024-01-18,2024-01-26,2026-01-25,24,True,active,monthly,GBP,5000.0,0.05,9750.0,117000.0,30,BIL1046,CSM18,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,117000.0,AE08,0.94,PRD-PLAT-ENT,CSM18,2024-01-18T09:00:00Z
CTR00037,ACC0022,2022-03-28,2022-04-16,2024-04-15,24,False,expired,monthly,GBP,5000.0,0.1,6500.0,78000.0,60,BIL4522,CSM18,Entity-2,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,78000.0,AE08,0.94,PRD-PLAT-ENT,CSM18,2022-03-28T09:00:00Z
CTR00038,ACC0022,2024-06-22,2024-07-18,2027-07-17,36,True,active,monthly,GBP,5000.0,0.05,6750.0,81000.0,30,BIL8303,CSM18,Entity-3,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,81000.0,AE08,0.58,PRD-PLAT-ENT,CSM18,2024-06-22T09:00:00Z
CTR00039,ACC0023,2023-07-17,2023-08-05,2024-08-04,12,False,expired,monthly,GBP,5000.0,0.2,6500.0,78000.0,30,BIL1242,CSM11,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,78000.0,AE12,0.7,PRD-PLAT-ENT,CSM11,2023-07-17T09:00:00Z
CTR00040,ACC0023,2024-12-07,2024-12-15,2026-12-14,24,False,active,monthly,GBP,5000.0,0.1,6500.0,78000.0,45,BIL3259,CSM11,Entity-5,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE12,0.65,PRD-PLAT-ENT,CSM11,2024-12-07T09:00:00Z
CTR00041,ACC0023,2022-03-29,2022-04-09,2023-04-08,12,False,expired,monthly,GBP,5000.0,0.1,6500.0,78000.0,45,BIL1924,CSM11,Entity-2,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE12,0.83,PRD-PLAT-ENT,CSM11,2022-03-29T09:00:00Z
CTR00042,ACC0024,2024-04-22,2024-05-06,2027-05-05,36,True,active,monthly,EUR,5000.0,0.2,6000.0,72000.0,30,BIL3931,CSM17,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,72000.0,AE05,0.65,PRD-PLAT-ENT,CSM17,2024-04-22T09:00:00Z
CTR00043,ACC0025,2024-11-27,2024-12-14,2025-12-13,12,True,active,monthly,GBP,5000.0,0.15,7550.0,90600.0,30,BIL2534,CSM03,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,90600.0,AE09,0.71,PRD-PLAT-ENT,CSM03,2024-11-27T09:00:00Z
CTR00044,ACC0025,2022-02-15,2022-02-22,2025-02-21,36,True,expired,monthly,GBP,5000.0,0.05,6750.0,81000.0,45,BIL7369,CSM03,Entity-4,flat,0,0.0,none,platinum,enterprise,False,us-west-2,81000.0,AE09,0.78,PRD-PLAT-ENT,CSM03,2022-02-15T09:00:00Z
CTR00045,ACC0026,2022-04-21,2022-05-15,2025-05-14,36,False,expired,monthly,EUR,5000.0,0.0,7050.0,84600.0,45,BIL8280,CSM18,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,84600.0,AE13,0.82,PRD-PLAT-ENT,CSM18,2022-04-21T09:00:00Z
CTR00046,ACC0026,2022-08-23,2022-09-21,2023-09-20,12,True,expired,monthly,EUR,5000.0,0.0,7000.0,84000.0,30,BIL3952,CSM18,Entity-3,flat,0,0.0,none,platinum,enterprise,False,us-east-1,84000.0,AE13,0.88,PRD-PLAT-ENT,CSM18,2022-08-23T09:00:00Z
CTR00047,ACC0026,2024-11-11,2024-11-19,2025-11-18,12,True,active,monthly,EUR,5000.0,0.05,6750.0,81000.0,30,BIL3114,CSM18,Entity-5,flat,0,0.0,none,platinum,enterprise,False,us-east-1,81000.0,AE13,0.8,PRD-PLAT-ENT,CSM18,2024-11-11T09:00:00Z
CTR00048,ACC0027,2022-09-23,2022-10-10,2024-10-09,24,True,expired,monthly,EUR,5000.0,0.1,6500.0,78000.0,60,BIL2325,CSM16,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,78000.0,AE06,0.78,PRD-PLAT-ENT,CSM16,2022-09-23T09:00:00Z
CTR00049,ACC0028,2024-07-31,2024-08-24,2026-08-23,24,False,active,monthly,USD,5000.0,0.0,8000.0,96000.0,30,BIL4592,CSM05,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,96000.0,AE04,0.68,PRD-PLAT-ENT,CSM05,2024-07-31T09:00:00Z
CTR00050,ACC0028,2024-12-09,2024-12-26,2025-12-25,12,True,active,monthly,USD,5000.0,0.15,6250.0,75000.0,30,BIL3741,CSM05,Entity-5,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,75000.0,AE04,0.73,PRD-PLAT-ENT,CSM05,2024-12-09T09:00:00Z
CTR00051,ACC0028,2021-12-29,2022-01-11,2023-01-10,12,True,expired,monthly,USD,5000.0,0.0,7000.0,84000.0,30,BIL7401,CSM05,Entity-2,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,84000.0,AE04,0.88,PRD-PLAT-ENT,CSM05,2021-12-29T09:00:00Z
CTR00052,ACC0029,2024-10-12,2024-10-23,2025-10-22,12,False,active,monthly,EUR,5000.0,0.15,7250.0,87000.0,45,BIL6025,CSM18,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,87000.0,AE12,0.9,PRD-PLAT-ENT,CSM18,2024-10-12T09:00:00Z
CTR00053,ACC0030,2023-04-11,2023-05-01,2024-04-30,12,False,expired,monthly,USD,5000.0,0.0,8500.0,102000.0,45,BIL1545,CSM12,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,102000.0,AE06,0.86,PRD-PLAT-ENT,CSM12,2023-04-11T09:00:00Z
CTR00054,ACC0030,2023-03-08,2023-03-15,2025-03-14,24,True,expired,monthly,USD,5000.0,0.05,6750.0,81000.0,45,BIL8528,CSM12,Entity-2,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,81000.0,AE06,0.55,PRD-PLAT-ENT,CSM12,2023-03-08T09:00:00Z
CTR00055,ACC0031,2024-11-19,2024-12-01,2025-11-30,12,True,active,monthly,GBP,5000.0,0.0,8300.0,99600.0,30,BIL1605,CSM15,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,99600.0,AE04,0.62,PRD-PLAT-ENT,CSM15,2024-11-19T09:00:00Z
CTR00056,ACC0032,2022-04-25,2022-05-16,2024-05-15,24,False,expired,monthly,USD,5000.0,0.05,7750.0,93000.0,60,BIL2175,CSM14,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,93000.0,AE11,0.71,PRD-PLAT-ENT,CSM14,2022-04-25T09:00:00Z
CTR00057,ACC0032,2024-04-13,2024-05-12,2027-05-11,36,True,active,monthly,USD,5000.0,0.1,6500.0,78000.0,30,BIL4620,CSM14,Entity-5,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE11,0.82,PRD-PLAT-ENT,CSM14,2024-04-13T09:00:00Z
CTR00058,ACC0033,2022-11-24,2022-12-22,2024-12-21,24,True,expired,monthly,USD,5000.0,0.15,7550.0,90600.0,30,BIL3476,CSM05,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,90600.0,AE09,0.78,PRD-PLAT-ENT,CSM05,2022-11-24T09:00:00Z
CTR00059,ACC0033,2022-09-25,2022-10-07,2023-10-06,12,False,expired,monthly,USD,5000.0,0.0,7000.0,84000.0,30,BIL3873,CSM05,Entity-5,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,84000.0,AE09,0.65,PRD-PLAT-ENT,CSM05,2022-09-25T09:00:00Z
CTR00060,ACC0034,2022-07-29,2022-08-13,2024-08-12,24,True,expired,monthly,USD,5000.0,0.05,7550.0,90600.0,30,BIL8617,CSM08,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,90600.0,AE13,0.9,PRD-PLAT-ENT,CSM08,2022-07-29T09:00:00Z
CTR00061,ACC0035,2024-09-13,2024-09-26,2025-09-25,12,True,active,monthly,GBP,5000.0,0.15,7100.0,85200.0,45,BIL8679,CSM02,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,85200.0,AE07,0.74,PRD-PLAT-ENT,CSM02,2024-09-13T09:00:00Z
CTR00062,ACC0035,2022-05-06,2022-05-24,2023-05-23,12,True,expired,monthly,GBP,5000.0,0.15,6250.0,75000.0,30,BIL8439,CSM02,Entity-4,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,75000.0,AE07,0.57,PRD-PLAT-ENT,CSM02,2022-05-06T09:00:00Z
CTR00063,ACC0036,2023-03-25,2023-04-01,2024-03-31,12,False,expired,monthly,EUR,5000.0,0.15,6800.0,81600.0,30,BIL3085,CSM07,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,81600.0,AE08,0.72,PRD-PLAT-ENT,CSM07,2023-03-25T09:00:00Z
CTR00064,ACC0037,2023-07-11,2023-08-08,2024-08-07,12,True,expired,monthly,GBP,5000.0,0.0,9000.0,108000.0,45,BIL3973,CSM05,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,108000.0,AE03,0.63,PRD-PLAT-ENT,CSM05,2023-07-11T09:00:00Z
CTR00065,ACC0037,2022-04-11,2022-05-07,2023-05-06,12,True,expired,monthly,GBP,5000.0,0.1,6500.0,78000.0,60,BIL1295,CSM05,Entity-1,flat,0,0.0,none,platinum,enterprise,False,us-west-2,78000.0,AE03,0.94,PRD-PLAT-ENT,CSM05,2022-04-11T09:00:00Z
CTR00066,ACC0038,2022-05-13,2022-06-07,2023-06-06,12,True,expired,monthly,USD,5000.0,0.05,7750.0,93000.0,30,BIL3077,CSM17,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,93000.0,AE12,0.67,PRD-PLAT-ENT,CSM17,2022-05-13T09:00:00Z
CTR00067,ACC0038,2022-04-28,2022-05-12,2023-05-11,12,True,expired,monthly,USD,5000.0,0.15,6250.0,75000.0,60,BIL7005,CSM17,Entity-2,flat,0,0.0,none,platinum,enterprise,False,us-east-1,75000.0,AE12,0.57,PRD-PLAT-ENT,CSM17,2022-04-28T09:00:00Z
CTR00068,ACC0039,2023-04-16,2023-05-01,2025-04-30,24,True,expired,monthly,EUR,5000.0,0.05,6800.0,81600.0,30,BIL4858,CSM11,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,81600.0,AE07,0.93,PRD-PLAT-ENT,CSM11,2023-04-16T09:00:00Z
CTR00069,ACC0040,2022-04-10,2022-04-19,2025-04-18,36,False,expired,monthly,USD,5000.0,0.1,6550.0,78600.0,30,BIL5920,CSM07,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,78600.0,AE07,0.69,PRD-PLAT-ENT,CSM07,2022-04-10T09:00:00Z
CTR00070,ACC0040,2022-09-02,2022-09-16,2023-09-15,12,True,expired,monthly,USD,5000.0,0.0,7000.0,84000.0,30,BIL2170,CSM07,Entity-3,flat,0,0.0,none,platinum,enterprise,False,us-west-2,84000.0,AE07,0.8,PRD-PLAT-ENT,CSM07,2022-09-02T09:00:00Z
CTR00071,ACC0041,2024-10-24,2024-11-13,2025-11-12,12,False,active,monthly,EUR,5000.0,0.0,8000.0,96000.0,45,BIL5311,CSM15,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,96000.0,AE05,0.63,PRD-PLAT-ENT,CSM15,2024-10-24T09:00:00Z
CTR00072,ACC0041,2024-01-11,2024-02-07,2026-02-06,24,False,active,monthly,EUR,5000.0,0.2,6000.0,72000.0,30,BIL9328,CSM15,Entity-5,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,72000.0,AE05,0.9,PRD-PLAT-ENT,CSM15,2024-01-11T09:00:00Z
CTR00073,ACC0042,2023-07-18,2023-08-08,2026-08-07,36,True,active,monthly,EUR,5000.0,0.05,7250.0,87000.0,60,BIL4410,CSM09,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,87000.0,AE03,0.89,PRD-PLAT-ENT,CSM09,2023-07-18T09:00:00Z
CTR00074,ACC0042,2022-05-21,2022-06-17,2023-06-16,12,True,expired,monthly,EUR,5000.0,0.0,7000.0,84000.0,30,BIL3347,CSM09,Entity-2,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,84000.0,AE03,0.92,PRD-PLAT-ENT,CSM09,2022-05-21T09:00:00Z
CTR00075,ACC0043,2024-05-20,2024-06-13,2027-06-12,36,True,active,monthly,USD,5000.0,0.15,8050.0,96600.0,30,BIL5637,CSM18,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,96600.0,AE12,0.8,PRD-PLAT-ENT,CSM18,2024-05-20T09:00:00Z
CTR00076,ACC0043,2024-10-25,2024-11-17,2026-11-16,24,True,active,monthly,USD,5000.0,0.1,6500.0,78000.0,30,BIL1856,CSM18,Entity-2,flat,0,0.0,none,platinum,enterprise,False,us-east-1,78000.0,AE12,0.64,PRD-PLAT-ENT,CSM18,2024-10-25T09:00:00Z
CTR00077,ACC0043,2024-02-05,2024-02-24,2025-02-23,12,True,expired,monthly,USD,5000.0,0.0,7000.0,84000.0,30,BIL2780,CSM18,Entity-1,flat,0,0.0,none,platinum,enterprise,False,us-east-1,84000.0,AE12,0.63,PRD-PLAT-ENT,CSM18,2024-02-05T09:00:00Z
CTR00078,ACC0044,2024-06-17,2024-07-08,2027-07-07,36,True,active,monthly,USD,5000.0,0.15,7050.0,84600.0,30,BIL2207,CSM12,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,84600.0,AE10,0.7,PRD-PLAT-ENT,CSM12,2024-06-17T09:00:00Z
CTR00079,ACC0044,2022-01-20,2022-02-01,2025-01-31,36,True,expired,monthly,USD,5000.0,0.15,6250.0,75000.0,45,BIL7452,CSM12,Entity-1,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,75000.0,AE10,0.83,PRD-PLAT-ENT,CSM12,2022-01-20T09:00:00Z
CTR00080,ACC0044,2024-08-01,2024-08-18,2025-08-17,12,True,active,monthly,USD,5000.0,0.0,7000.0,84000.0,30,BIL1929,CSM12,Entity-4,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,84000.0,AE10,0.96,PRD-PLAT-ENT,CSM12,2024-08-01T09:00:00Z
CTR00081,ACC0045,2023-09-03,2023-09-23,2025-09-22,24,False,active,monthly,EUR,5000.0,0.05,8250.0,99000.0,30,BIL6163,CSM17,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,99000.0,AE13,0.55,PRD-PLAT-ENT,CSM17,2023-09-03T09:00:00Z
CTR00082,ACC0045,2024-03-01,2024-03-25,2026-03-24,24,True,active,monthly,EUR,5000.0,0.0,7000.0,84000.0,45,BIL8339,CSM17,Entity-3,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,84000.0,AE13,0.72,PRD-PLAT-ENT,CSM17,2024-03-01T09:00:00Z
CTR00083,ACC0046,2022-05-24,2022-06-12,2025-06-11,36,True,expired,monthly,GBP,5000.0,0.05,8300.0,99600.0,45,BIL1521,CSM16,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,99600.0,AE02,0.66,PRD-PLAT-ENT,CSM16,2022-05-24T09:00:00Z
CTR00084,ACC0046,2023-12-31,2024-01-07,2027-01-06,36,True,active,monthly,GBP,5000.0,0.2,6000.0,72000.0,45,BIL1147,CSM16,Entity-5,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,72000.0,AE02,0.87,PRD-PLAT-ENT,CSM16,2023-12-31T09:00:00Z
