customer_id,customer_name,region,segment,account_manager,credit_terms,onboarding_date,primary_contact_email,billing_address_line1,billing_address_city,billing_address_state,billing_address_zip,industry_code,source_system,created_at
CUST-00029,Customer Account 00029 Inc,North,Mid-Market,AM-027,Net30,2019-10-10,contact00029@customer00029.example.com,7797 Commerce St,North City 18,XX,60138,RTL,CRM-Legacy,2024-01-08
CUST-00030,Customer Account 00030 Inc,West,Enterprise,AM-001,Net30,2019-01-25,contact00030@customer00030.example.com,6598 Commerce St,West City 25,XX,81188,RTL,CRM-Legacy,2020-05-18
CUST-00031,Customer Account 00031 Inc,Central,Enterprise,AM-043,Prepaid,2024-02-01,contact00031@customer00031.example.com,5864 Commerce St,Central City 14,XX,69628,CON,Manual-Import,2016-11-28
CUST-00032,Customer Account 00032 Inc,East,SMB,AM-042,Net30,2016-11-11,contact00032@customer00032.example.com,7928 Commerce St,East City 5,XX,47664,RTL,Manual-Import,2016-02-05
CUST-00033,Customer Account 00033 Inc,South,Mid-Market,AM-059,Prepaid,2020-12-27,contact00033@customer00033.example.com,7573 Commerce St,South City 38,XX,65547,AGR,CRM-NextGen,2022-09-08
CUST-00034,Customer Account 00034 Inc,West,Mid-Market,AM-021,Net45,2018-05-25,contact00034@customer00034.example.com,4961 Commerce St,West City 14,XX,66341,HLC,CRM-NextGen,2017-02-24
CUST-00035,Customer Account 00035 Inc,South,Mid-Market,AM-022,Net30,2018-07-17,contact00035@customer00035.example.com,7320 Commerce St,South City 7,XX,24668,HLC,CRM-NextGen,2019-12-13
CUST-00036,Customer Account 00036 Inc,North,SMB,AM-043,Net60,2017-08-31,contact00036@customer00036.example.com,4747 Commerce St,North City 2,XX,73161,HLC,CRM-NextGen,2017-04-16
CUST-00037,Customer Account 00037 Inc,South,SMB,AM-024,Net45,2017-06-27,contact00037@customer00037.example.com,5526 Commerce St,South City 13,XX,50856,AGR,CRM-Legacy,2020-03-07
CUST-00038,Customer Account 00038 Inc,North,Enterprise,AM-003,Net45,2023-09-06,contact00038@customer00038.example.com,9070 Commerce St,North City 5,XX,99204,CON,CRM-NextGen,2022-07-04
CUST-00039,Customer Account 00039 Inc,East,SMB,AM-016,Net60,2017-05-24,contact00039@customer00039.example.com,9386 Commerce St,East City 12,XX,83796,HLC,CRM-Legacy,2024-03-08
CUST-00040,Customer Account 00040 Inc,East,Enterprise,AM-013,Net30,2023-08-09,contact00040@customer00040.example.com,1852 Commerce St,East City 7,XX,85401,LOG,CRM-Legacy,2021-05-05
CUST-00041,Customer Account 00041 Inc,East,SMB,AM-035,Prepaid,2021-12-17,contact00041@customer00041.example.com,9040 Commerce St,East City 5,XX,69134,LOG,CRM-NextGen,2023-09-26
CUST-00042,Customer Account 00042 Inc,South,Mid-Market,AM-053,Net60,2020-04-17,contact00042@customer00042.example.com,3237 Commerce St,South City 21,XX,96618,MFG,CRM-Legacy,2020-02-07
CUST-00043,Customer Account 00043 Inc,South,SMB,AM-037,Net30,2018-09-23,contact00043@customer00043.example.com,6958 Commerce St,South City 19,XX,74230,CON,CRM-Legacy,2019-07-08
CUST-00044,Customer Account 00044 Inc,Central,SMB,AM-057,Net45,2016-01-04,contact00044@customer00044.example.com,6377 Commerce St,Central City 1,XX,38692,CON,Manual-Import,2019-05-22
CUST-00045,Customer Account 00045 Inc,Central,Enterprise,AM-050,Net60,2016-02-11,contact00045@customer00045.example.com,8941 Commerce St,Central City 16,XX,78401,AGR,CRM-NextGen,2023-12-25
CUST-00046,Customer Account 00046 Inc,West,Mid-Market,AM-053,Prepaid,2022-09-04,contact00046@customer00046.example.com,4595 Commerce St,West City 3,XX,35399,CON,CRM-NextGen,2023-08-04
CUST-00047,Customer Account 00047 Inc,North,SMB,AM-024,Net30,2017-10-24,contact00047@customer00047.example.com,3048 Commerce St,North City 5,XX,67911,TEC,CRM-NextGen,2023-06-14
CUST-00048,Customer Account 00048 Inc,East,SMB,AM-019,Net60,2017-05-22,contact00048@customer00048.example.com,6928 Commerce St,East City 30,XX,32493,TEC,CRM-NextGen,2017-06-09
CUST-00049,Customer Account 00049 Inc,North,SMB,AM-043,Net45,2020-03-26,contact00049@customer00049.example.com,9817 Commerce St,North City 9,XX,68752,MFG,CRM-Legacy,2023-11-11
CUST-00050,Customer Account 00050 Inc,North,SMB,AM-039,Net60,2021-09-21,contact00050@customer00050.example.com,8951 Commerce St,North City 33,XX,74966,RTL,CRM-Legacy,2020-01-30
CUST-00051,Customer Account 00051 Inc,West,Enterprise,AM-040,Net30,2017-03-25,contact00051@customer00051.example.com,5455 Commerce St,West City 25,XX,20398,LOG,CRM-Legacy,2021-06-04
CUST-00052,Customer Account 00052 Inc,West,SMB,AM-003,Prepaid,2017-02-22,contact00052@customer00052.example.com,3986 Commerce St,West City 10,XX,50571,LOG,Manual-Import,2022-05-02
CUST-00053,Customer Account 00053 Inc,East,SMB,AM-056,Prepaid,2021-05-09,contact00053@customer00053.example.com,1043 Commerce St,East City 12,XX,79190,HLC,CRM-Legacy,2023-10-12
CUST-00054,Customer Account 00054 Inc,East,Mid-Market,AM-051,Net45,2019-01-24,contact00054@customer00054.example.com,4431 Commerce St,East City 12,XX,83277,HLC,CRM-NextGen,2023-01-26
CUST-00055,Customer Account 00055 Inc,East,Mid-Market,AM-001,Net60,2023-09-29,contact00055@customer00055.example.com,1394 Commerce St,East City 22,XX,36004,TEC,CRM-NextGen,2018-07-26
CUST-00056,Customer Account 00056 Inc,North,Mid-Market,AM-005,Net45,2016-09-28,contact00056@customer00056.example.com,591 Commerce St,North City 5,XX,43953,RTL,CRM-Legacy,2018-06-25
CUST-00057,Customer Account 00057 Inc,South,SMB,AM-001,Net60,2017-01-06,contact00057@customer00057.example.com,2908 Commerce St,South City 15,XX,91509,LOG,Manual-Import,2016-11-15
CUST-00058,Customer Account 00058 Inc,East,SMB,AM-029,Net45,2020-07-28,contact00058@customer00058.example.com,2711 Commerce St,East City 9,XX,38198,AGR,CRM-NextGen,2021-08-06
CUST-00059,Customer Account 00059 Inc,West,Enterprise,AM-022,Prepaid,2016-01-24,contact00059@customer00059.example.com,3884 Commerce St,West City 33,XX,71581,HLC,Manual-Import,2017-02-17
CUST-00060,Customer Account 00060 Inc,West,SMB,AM-031,Prepaid,2016-01-26,contact00060@customer00060.example.com,959 Commerce St,West City 3,XX,47386,HLC,Manual-Import,2021-07-20
CUST-00061,Customer Account 00061 Inc,North,SMB,AM-029,Net45,2016-05-12,contact00061@customer00061.example.com,1613 Commerce St,North City 14,XX,49885,HLC,CRM-Legacy,2018-10-17
CUST-00062,Customer Account 00062 Inc,South,SMB,AM-029,Net45,2018-08-11,contact00062@customer00062.example.com,9073 Commerce St,South City 30,XX,22315,RTL,CRM-Legacy,2020-08-09
CUST-00063,Customer Account 00063 Inc,South,Mid-Market,AM-023,Net30,2016-11-19,contact00063@customer00063.example.com,7911 Commerce St,South City 38,XX,85343,LOG,CRM-NextGen,2022-10-15
CUST-00064,Customer Account 00064 Inc,Central,Enterprise,AM-053,Net45,2020-02-20,contact00064@customer00064.example.com,9584 Commerce St,Central City 13,XX,84837,LOG,Manual-Import,2017-07-22
CUST-00065,Customer Account 00065 Inc,South,SMB,AM-013,Net45,2016-09-23,contact00065@customer00065.example.com,5255 Commerce St,South City 29,XX,52688,RTL,CRM-NextGen,2021-06-05
CUST-00066,Customer Account 00066 Inc,East,Mid-Market,AM-052,Prepaid,2017-09-30,contact00066@customer00066.example.com,2887 Commerce St,East City 2,XX,43747,MFG,Manual-Import,2016-09-23
CUST-00067,Customer Account 00067 Inc,West,Mid-Market,AM-035,Net45,2017-12-30,contact00067@customer00067.example.com,5418 Commerce St,West City 9,XX,20205,LOG,Manual-Import,2016-12-22
CUST-00068,Customer Account 00068 Inc,West,Mid-Market,AM-018,Prepaid,2016-01-02,contact00068@customer00068.example.com,3616 Commerce St,West City 36,XX,45489,MFG,CRM-NextGen,2021-08-09
CUST-00069,Customer Account 00069 Inc,Central,SMB,AM-038,Prepaid,2021-05-08,contact00069@customer00069.example.com,8974 Commerce St,Central City 31,XX,30899,HLC,CRM-NextGen,2020-01-06
CUST-00070,Customer Account 00070 Inc,West,Mid-Market,AM-042,Net30,2020-03-14,contact00070@customer00070.example.com,4279 Commerce St,West City 9,XX,99172,RTL,CRM-Legacy,2018-12-11
CUST-00071,Customer Account 00071 Inc,West,Mid-Market,AM-001,Prepaid,2016-01-09,contact00071@customer00071.example.com,271 Commerce St,West City 23,XX,26143,CON,CRM-Legacy,2020-08-13
CUST-00072,Customer Account 00072 Inc,North,Enterprise,AM-041,Net45,2016-06-27,contact00072@customer00072.example.com,543 Commerce St,North City 28,XX,48509,AGR,CRM-Legacy,2021-11-23
CUST-00073,Customer Account 00073 Inc,West,SMB,AM-040,Net60,2022-01-27,contact00073@customer00073.example.com,4524 Commerce St,West City 29,XX,85794,AGR,CRM-NextGen,2016-08-10
CUST-00074,Customer Account 00074 Inc,East,Mid-Market,AM-004,Net45,2020-05-01,contact00074@customer00074.example.com,9011 Commerce St,East City 30,XX,48059,HLC,Manual-Import,2018-04-05
CUST-00075,Customer Account 00075 Inc,Central,Mid-Market,AM-047,Net60,2022-09-28,contact00075@customer00075.example.com,812 Commerce St,Central City 7,XX,56367,HLC,Manual-Import,2019-04-18
CUST-00076,Customer Account 00076 Inc,Central,Enterprise,AM-018,Net30,2017-12-07,contact00076@customer00076.example.com,7650 Commerce St,Central City 14,XX,28311,HLC,CRM-NextGen,2022-06-14
CUST-00077,Customer Account 00077 Inc,Central,Mid-Market,AM-003,Prepaid,2016-04-22,contact00077@customer00077.example.com,6297 Commerce St,Central City 37,XX,13521,AGR,CRM-Legacy,2024-01-25
CUST-00078,Customer Account 00078 Inc,West,Mid-Market,AM-054,Net45,2021-09-05,contact00078@customer00078.example.com,1831 Commerce St,West City 12,XX,18913,LOG,CRM-Legacy,2019-05-17
CUST-00079,Customer Account 00079 Inc,East,SMB,AM-023,Net60,2022-11-15,contact00079@customer00079.example.com,1197 Commerce St,East City 38,XX,20430,MFG,CRM-Legacy,2017-12-31
CUST-00080,Customer Account 00080 Inc,Central,Mid-Market,AM-018,Net30,2019-11-20,contact00080@customer00080.example.com,2400 Commerce St,Central City 12,XX,56552,AGR,CRM-NextGen,2017-10-31
CUST-00081,Customer Account 00081 Inc,West,SMB,AM-042,Prepaid,2020-12-16,contact00081@customer00081.example.com,3031 Commerce St,West City 14,XX,49548,RTL,CRM-Legacy,2017-02-07
CUST-00082,Customer Account 00082 Inc,North,Mid-Market,AM-044,Net45,2016-05-18,contact00082@customer00082.example.com,8329 Commerce St,North City 39,XX,67456,CON,CRM-Legacy,2022-12-07
CUST-00083,Customer Account 00083 Inc,West,SMB,AM-026,Net60,2017-08-21,contact00083@customer00083.example.com,3371 Commerce St,West City 8,XX,39836,LOG,CRM-Legacy,2023-04-29
CUST-00084,Customer Account 00084 Inc,South,Enterprise,AM-030,Net30,2018-07-04,contact00084@customer00084.example.com,693 Commerce St,South City 30,XX,59160,AGR,Manual-Import,2018-11-08
CUST-00085,Customer Account 00085 Inc,Central,SMB,AM-004,Net45,2022-01-27,contact00085@customer00085.example.com,8599 Commerce St,Central City 17,XX,34700,CON,Manual-Import,2024-02-10
CUST-00086,Customer Account 00086 Inc,Central,Mid-Market,AM-015,Net45,2021-01-06,contact00086@customer00086.example.com,9240 Commerce St,Central City 22,XX,41998,LOG,CRM-NextGen,2020-12-20
CUST-00087,Customer Account 00087 Inc,North,Enterprise,AM-030,Net30,2021-10-10,contact00087@customer00087.example.com,1887 Commerce St,North City 6,XX,15179,MFG,CRM-NextGen,2020-01-05
CUST-00088,Customer Account 00088 Inc,West,SMB,AM-034,Net30,2021-11-06,contact00088@customer00088.example.com,888 Commerce St,West City 34,XX,42639,HLC,CRM-Legacy,2020-03-06
CUST-00089,Customer Account 00089 Inc,South,Mid-Market,AM-058,Prepaid,2022-08-18,contact00089@customer00089.example.com,7667 Commerce St,South City 21,XX,88590,RTL,Manual-Import,2020-10-07
CUST-00090,Customer Account 00090 Inc,South,Enterprise,AM-013,Net60,2017-12-08,contact00090@customer00090.example.com,3952 Commerce St,South City 8,XX,51884,HLC,CRM-Legacy,2023-04-19
CUST-00091,Customer Account 00091 Inc,West,SMB,AM-023,Net60,2020-07-24,contact00091@customer00091.example.com,6085 Commerce St,West City 1,XX,52646,RTL,CRM-NextGen,2023-08-25
CUST-00092,Customer Account 00092 Inc,East,SMB,AM-036,Net30,2018-07-19,contact00092@customer00092.example.com,2756 Commerce St,East City 28,XX,50310,AGR,CRM-NextGen,2024-01-06
CUST-00093,Customer Account 00093 Inc,West,SMB,AM-002,Net30,2019-03-20,contact00093@customer00093.example.com,9707 Commerce St,West City 33,XX,52144,TEC,CRM-Legacy,2020-08-20
CUST-00094,Customer Account 00094 Inc,West,SMB,AM-022,Net45,2018-03-03,contact00094@customer00094.example.com,3810 Commerce St,West City 20,XX,33354,TEC,Manual-Import,2022-02-05
CUST-00095,Customer Account 00095 Inc,South,SMB,AM-028,Prepaid,2019-12-26,contact00095@customer00095.example.com,3218 Commerce St,South City 26,XX,21317,CON,Manual-Import,2021-10-29
CUST-00096,Customer Account 00096 Inc,East,Mid-Market,AM-049,Prepaid,2017-08-02,contact00096@customer00096.example.com,7818 Commerce St,East City 27,XX,57612,MFG,Manual-Import,2017-10-18
CUST-00097,Customer Account 00097 Inc,Central,Mid-Market,AM-047,Net30,2020-02-03,contact00097@customer00097.example.com,673 Commerce St,Central City 39,XX,67610,RTL,Manual-Import,2016-02-28
CUST-00098,Customer Account 00098 Inc,East,Mid-Market,AM-007,Net45,2021-12-17,contact00098@customer00098.example.com,8918 Commerce St,East City 31,XX,76587,TEC,CRM-NextGen,2018-02-04
CUST-00099,Customer Account 00099 Inc,Central,Enterprise,AM-031,Net45,2021-08-07,contact00099@customer00099.example.com,5001 Commerce St,Central City 24,XX,82872,MFG,Manual-Import,2022-09-17
CUST-00100,Customer Account 00100 Inc,East,Mid-Market,AM-046,Net30,2021-03-21,contact00100@customer00100.example.com,8575 Commerce St,East City 24,XX,74039,RTL,Manual-Import,2017-08-02
CUST-00101,Customer Account 00101 Inc,East,SMB,AM-041,Net60,2020-09-24,contact00101@customer00101.example.com,4229 Commerce St,East City 23,XX,70735,CON,CRM-NextGen,2019-08-14
CUST-00102,Customer Account 00102 Inc,North,Mid-Market,AM-004,Net60,2023-05-24,contact00102@customer00102.example.com,7044 Commerce St,North City 32,XX,62029,LOG,Manual-Import,2017-04-03
CUST-00103,Customer Account 00103 Inc,West,Mid-Market,AM-030,Net30,2017-09-21,contact00103@customer00103.example.com,1382 Commerce St,West City 8,XX,18622,AGR,CRM-NextGen,2021-07-08
CUST-00104,Customer Account 00104 Inc,Central,Mid-Market,AM-039,Prepaid,2020-02-29,contact00104@customer00104.example.com,7592 Commerce St,Central City 1,XX,24681,MFG,Manual-Import,2020-04-03
CUST-00105,Customer Account 00105 Inc,South,SMB,AM-019,Prepaid,2019-11-15,contact00105@customer00105.example.com,6737 Commerce St,South City 4,XX,95088,MFG,CRM-NextGen,2021-12-15
CUST-00106,Customer Account 00106 Inc,Central,Enterprise,AM-011,Net30,2019-06-25,contact00106@customer00106.example.com,5807 Commerce St,Central City 11,XX,97575,CON,CRM-NextGen,2019-12-28
CUST-00107,Customer Account 00107 Inc,East,SMB,AM-007,Net45,2019-07-01,contact00107@customer00107.example.com,9112 Commerce St,East City 24,XX,36803,MFG,Manual-Import,2021-02-22
CUST-00108,Customer Account 00108 Inc,West,Mid-Market,AM-017,Prepaid,2018-06-12,contact00108@customer00108.example.com,5317 Commerce St,West City 39,XX,29742,RTL,CRM-Legacy,2023-07-01
CUST-00109,Customer Account 00109 Inc,East,Mid-Market,AM-055,Net30,2018-07-01,contact00109@customer00109.example.com,5482 Commerce St,East City 15,XX,10203,LOG,CRM-Legacy,2021-01-30
CUST-00110,Customer Account 00110 Inc,Central,Enterprise,AM-033,Net60,2022-12-18,contact00110@customer00110.example.com,9190 Commerce St,Central City 4,XX,30553,MFG,Manual-Import,2018-04-04
CUST-00111,Customer Account 00111 Inc,East,SMB,AM-029,Net45,2022-06-28,contact00111@customer00111.example.com,2980 Commerce St,East City 8,XX,19562,HLC,CRM-NextGen,2022-05-29
CUST-00112,Customer Account 00112 Inc,Central,Enterprise,AM-032,Prepaid,2019-04-03,contact00112@customer00112.example.com,7669 Commerce St,Central City 25,XX,93831,LOG,Manual-Import,2021-06-08
CUST-00113,Customer Account 00113 Inc,North,SMB,AM-001,Net60,2018-01-22,contact00113@customer00113.example.com,5081 Commerce St,North City 34,XX,18613,HLC,Manual-Import,2017-08-21
CUST-00114,Customer Account 00114 Inc,South,Mid-Market,AM-028,Prepaid,2017-12-08,contact00114@customer00114.example.com,3745 Commerce St,South City 23,XX,11087,AGR,Manual-Import,2022-11-09
CUST-00115,Customer Account 00115 Inc,South,Enterprise,AM-024,Net45,2019-12-22,contact00115@customer00115.example.com,4529 Commerce St,South City 17,XX,77254,RTL,Manual-Import,2023-05-12
CUST-00116,Customer Account 00116 Inc,North,Enterprise,AM-058,Net45,2022-07-15,contact00116@customer00116.example.com,8460 Commerce St,North City 26,XX,83006,RTL,Manual-Import,2021-03-20
CUST-00117,Customer Account 00117 Inc,North,Enterprise,AM-008,Net45,2024-02-28,contact00117@customer00117.example.com,2476 Commerce St,North City 25,XX,97976,RTL,Manual-Import,2019-09-12
CUST-00118,Customer Account 00118 Inc,South,Mid-Market,AM-057,Prepaid,2023-05-25,contact00118@customer00118.example.com,7835 Commerce St,South City 34,XX,38980,HLC,CRM-Legacy,2021-09-19
CUST-00119,Customer Account 00119 Inc,Central,SMB,AM-039,Net30,2019-01-02,contact00119@customer00119.example.com,7098 Commerce St,Central City 3,XX,91979,RTL,Manual-Import,2021-01-23
CUST-00120,Customer Account 00120 Inc,Central,SMB,AM-046,Net45,2020-10-17,contact00120@customer00120.example.com,9158 Commerce St,Central City 4,XX,42021,MFG,CRM-NextGen,2022-06-04
CUST-00121,Customer Account 00121 Inc,North,SMB,AM-033,Net30,2017-05-03,contact00121@customer00121.example.com,1037 Commerce St,North City 16,XX,53877,LOG,CRM-NextGen,2017-05-29
CUST-00122,Customer Account 00122 Inc,West,SMB,AM-004,Net45,2020-11-18,contact00122@customer00122.example.com,4587 Commerce St,West City 38,XX,35870,LOG,CRM-NextGen,2022-02-26
CUST-00123,Customer Account 00123 Inc,North,Mid-Market,AM-002,Net45,2023-05-12,contact00123@customer00123.example.com,3331 Commerce St,North City 17,XX,75177,LOG,Manual-Import,2021-05-11
CUST-00124,Customer Account 00124 Inc,North,Mid-Market,AM-007,Net30,2021-09-17,contact00124@customer00124.example.com,9427 Commerce St,North City 3,XX,84307,HLC,CRM-NextGen,2021-11-21
CUST-00125,Customer Account 00125 Inc,South,Mid-Market,AM-010,Net30,2021-08-31,contact00125@customer00125.example.com,2245 Commerce St,South City 31,XX,16342,TEC,CRM-NextGen,2023-11-10
CUST-00126,Customer Account 00126 Inc,East,Mid-Market,AM-055,Prepaid,2017-04-25,contact00126@customer00126.example.com,9283 Commerce St,East City 31,XX,70918,RTL,Manual-Import,2022-12-03
CUST-00127,Customer Account 00127 Inc,South,Mid-Market,AM-035,Net30,2020-07-27,contact00127@customer00127.example.com,5532 Commerce St,South City 21,XX,70943,LOG,CRM-Legacy,2017-10-05
CUST-00128,Customer Account 00128 Inc,South,Enterprise,AM-055,Net30,2022-04-26,contact00128@customer00128.example.com,5837 Commerce St,South City 36,XX,28385,HLC,CRM-NextGen,2016-08-07
CUST-00129,Customer Account 00129 Inc,Central,SMB,AM-048,Net45,2018-10-05,contact00129@customer00129.example.com,9465 Commerce St,Central City 21,XX,30447,AGR,Manual-Import,2017-07-30
CUST-00130,Customer Account 00130 Inc,West,Mid-Market,AM-038,Prepaid,2017-06-07,contact00130@customer00130.example.com,7250 Commerce St,West City 33,XX,94306,HLC,CRM-Legacy,2023-09-04
CUST-00131,Customer Account 00131 Inc,East,Mid-Market,AM-034,Net60,2019-06-23,contact00131@customer00131.example.com,3980 Commerce St,East City 16,XX,69067,AGR,CRM-NextGen,2021-07-25
CUST-00132,Customer Account 00132 Inc,East,Mid-Market,AM-046,Net30,2018-02-23,contact00132@customer00132.example.com,7409 Commerce St,East City 4,XX,30157,AGR,Manual-Import,2019-05-30
CUST-00133,Customer Account 00133 Inc,East,Mid-Market,AM-031,Net30,2019-07-17,contact00133@customer00133.example.com,2620 Commerce St,East City 27,XX,22843,CON,CRM-Legacy,2023-12-26
CUST-00134,Customer Account 00134 Inc,West,Mid-Market,AM-009,Net60,2016-07-08,contact00134@customer00134.example.com,1958 Commerce St,West City 32,XX,52083,CON,Manual-Import,2019-07-09
CUST-00135,Customer Account 00135 Inc,South,Mid-Market,AM-048,Prepaid,2017-11-14,contact00135@customer00135.example.com,3109 Commerce St,South City 19,XX,16686,MFG,CRM-Legacy,2023-05-17
CUST-00136,Customer Account 00136 Inc,South,SMB,AM-044,Net45,2023-03-08,contact00136@customer00136.example.com,3770 Commerce St,South City 31,XX,84826,TEC,Manual-Import,2016-12-21
CUST-00137,Customer Account 00137 Inc,East,SMB,AM-023,Prepaid,2023-10-18,contact00137@customer00137.example.com,9760 Commerce St,East City 30,XX,63443,RTL,Manual-Import,2017-08-06
CUST-00138,Customer Account 00138 Inc,North,Enterprise,AM-052,Net60,2020-10-18,contact00138@customer00138.example.com,551 Commerce St,North City 15,XX,30272,HLC,CRM-Legacy,2021-07-25
CUST-00139,Customer Account 00139 Inc,East,SMB,AM-057,Prepaid,2019-12-29,contact00139@customer00139.example.com,7022 Commerce St,East City 18,XX,63552,LOG,CRM-NextGen,2020-09-30
CUST-00140,Customer Account 00140 Inc,Central,SMB,AM-030,Net60,2017-12-12,contact00140@customer00140.example.com,7313 Commerce St,Central City 3,XX,38799,AGR,CRM-NextGen,2020-12-26
CUST-00141,Customer Account 00141 Inc,West,Mid-Market,AM-010,Prepaid,2024-02-17,contact00141@customer00141.example.com,2484 Commerce St,West City 25,XX,13809,CON,CRM-NextGen,2016-08-04
