goal_id,employee_id,department_id,goal_description,weight,completion_pct,completion_unit,recorded_date
GL-0105,EMP-0032,DEPT-002,Reduce process error rate by 10 percent,0.1679,84.4,pct,2024-03-08
GL-0106,EMP-0032,DEPT-002,Establish weekly reporting cadence for executive team,0.2368,69.3,pct,2024-03-28
GL-0107,EMP-0032,DEPT-002,Drive measurable cost reduction in operational budget,0.5169,90.7,pct,2024-03-24
GL-0108,EMP-0033,DEPT-001,Deliver cross-functional project milestone,0.5968,98.8,pct,2024-03-19
GL-0109,EMP-0033,DEPT-001,Implement one process automation initiative,0.228,92.5,pct,2024-03-19
GL-0110,EMP-0033,DEPT-001,Reduce onboarding cycle time for new hires,0.0783,62.9,pct,2024-03-20
GL-0111,EMP-0033,DEPT-001,Reduce process error rate by 10 percent,0.0966,68.9,pct,2024-03-22
GL-0112,EMP-0033,DEPT-001,Complete product certification or professional qualification,0.0002,81.3,pct,2024-03-16
GL-0113,EMP-0034,DEPT-002,Reduce process error rate by 10 percent,0.1686,81.5,pct,2024-03-20
GL-0114,EMP-0034,DEPT-002,Improve quarterly delivery velocity,0.4519,48.3,pct,2024-03-10
GL-0115,EMP-0034,DEPT-002,Drive measurable cost reduction in operational budget,0.2737,76.3,pct,2024-03-14
GL-0116,EMP-0034,DEPT-002,Mentor two junior team members,0.1016,60.0,pct,2024-03-14
GL-0117,EMP-0034,DEPT-002,Deliver cross-functional project milestone,0.0042,93.1,pct,2024-03-19
GL-0118,EMP-0035,DEPT-001,Drive measurable cost reduction in operational budget,0.2572,92.2,pct,2024-03-29
GL-0119,EMP-0035,DEPT-001,Mentor two junior team members,0.4851,41.1,pct,2024-03-29
GL-0120,EMP-0035,DEPT-001,Deliver cross-functional project milestone,0.2195,68.5,pct,2024-03-22
GL-0121,EMP-0035,DEPT-001,Complete product certification or professional qualification,0.0383,44.2,pct,2024-03-31
GL-0122,EMP-0036,DEPT-002,Deliver cross-functional project milestone,0.3829,60.2,pct,2024-03-16
GL-0123,EMP-0036,DEPT-002,Reduce onboarding cycle time for new hires,0.5832,67.8,pct,2024-03-25
GL-0124,EMP-0036,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.0339,73.9,pct,2024-03-28
GL-0125,EMP-0037,DEPT-001,Mentor two junior team members,0.3263,66.3,pct,2024-03-10
GL-0126,EMP-0037,DEPT-001,Drive measurable cost reduction in operational budget,0.0869,79.1,pct,2024-03-30
GL-0127,EMP-0037,DEPT-001,Reduce process error rate by 10 percent,0.0505,73.7,pct,2024-03-08
GL-0128,EMP-0037,DEPT-001,Establish weekly reporting cadence for executive team,0.1584,75.8,pct,2024-03-17
GL-0129,EMP-0037,DEPT-001,Improve quarterly delivery velocity,0.3779,47.9,pct,2024-03-24
GL-0130,EMP-0038,DEPT-001,Complete product certification or professional qualification,0.0847,92.7,pct,2024-03-25
GL-0131,EMP-0038,DEPT-001,Implement one process automation initiative,0.1965,84.4,pct,2024-03-09
GL-0132,EMP-0038,DEPT-001,Improve quarterly delivery velocity,0.1194,52.3,pct,2024-03-17
GL-0133,EMP-0038,DEPT-001,Reduce onboarding cycle time for new hires,0.5994,56.6,pct,2024-03-30
GL-0134,EMP-0039,DEPT-001,Complete mandatory compliance training,0.3488,56.0,pct,2024-03-26
GL-0135,EMP-0039,DEPT-001,Drive measurable cost reduction in operational budget,0.6319,56.3,pct,2024-03-07
GL-0136,EMP-0039,DEPT-001,Complete product certification or professional qualification,0.0066,82.2,pct,2024-03-12
GL-0137,EMP-0039,DEPT-001,Improve quarterly delivery velocity,0.0128,91.3,pct,2024-03-08
GL-0138,EMP-0040,DEPT-003,Complete leadership development programme,0.3777,79.1,pct,2024-03-17
GL-0139,EMP-0040,DEPT-003,Drive measurable cost reduction in operational budget,0.3417,44.0,pct,2024-03-16
GL-0140,EMP-0040,DEPT-003,Mentor two junior team members,0.0034,64.5,pct,2024-03-31
GL-0141,EMP-0040,DEPT-003,Deliver cross-functional project milestone,0.14,68.4,pct,2024-03-14
GL-0142,EMP-0040,DEPT-003,Complete product certification or professional qualification,0.1373,98.5,pct,2024-03-25
GL-0143,EMP-0041,DEPT-003,Mentor two junior team members,0.0835,98.2,pct,2024-03-14
GL-0144,EMP-0041,DEPT-003,Drive measurable cost reduction in operational budget,0.0429,80.4,pct,2024-03-31
GL-0145,EMP-0041,DEPT-003,Complete product certification or professional qualification,0.003,81.6,pct,2024-03-18
GL-0146,EMP-0041,DEPT-003,Implement one process automation initiative,0.3063,51.5,pct,2024-03-14
GL-0147,EMP-0041,DEPT-003,Complete mandatory compliance training,0.5642,52.5,pct,2024-03-27
GL-0148,EMP-0042,DEPT-003,Reduce process error rate by 10 percent,0.0094,48.3,pct,2024-03-18
GL-0149,EMP-0042,DEPT-003,Improve quarterly delivery velocity,0.0998,74.8,pct,2024-03-08
GL-0150,EMP-0042,DEPT-003,Establish weekly reporting cadence for executive team,0.3461,73.9,pct,2024-03-14
GL-0151,EMP-0042,DEPT-003,Mentor two junior team members,0.4401,79.2,pct,2024-03-23
GL-0152,EMP-0042,DEPT-003,Complete mandatory compliance training,0.1046,62.0,pct,2024-03-13
GL-0153,EMP-0043,DEPT-004,Establish weekly reporting cadence for executive team,0.2892,61.0,pct,2024-03-23
GL-0154,EMP-0043,DEPT-004,Reduce process error rate by 10 percent,0.389,77.0,pct,2024-03-12
GL-0155,EMP-0043,DEPT-004,Complete leadership development programme,0.3217,57.0,pct,2024-03-26
GL-0156,EMP-0045,DEPT-004,Achieve 95-percent-plus stakeholder satisfaction score,0.1554,43.8,pct,2024-03-17
GL-0157,EMP-0045,DEPT-004,Reduce process error rate by 10 percent,0.5998,44.2,pct,2024-03-07
GL-0158,EMP-0045,DEPT-004,Reduce onboarding cycle time for new hires,0.2448,59.8,pct,2024-03-25
GL-0159,EMP-0046,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.4806,68.5,pct,2024-03-10
GL-0160,EMP-0046,DEPT-002,Reduce process error rate by 10 percent,0.1488,71.6,pct,2024-03-09
GL-0161,EMP-0046,DEPT-002,Improve quarterly delivery velocity,0.3706,80.1,pct,2024-03-28
GL-0162,EMP-0047,DEPT-003,Complete mandatory compliance training,0.0469,88.2,pct,2024-03-13
GL-0163,EMP-0047,DEPT-003,Achieve 95-percent-plus stakeholder satisfaction score,0.2662,73.2,pct,2024-03-25
GL-0164,EMP-0047,DEPT-003,Mentor two junior team members,0.6868,75.0,pct,2024-03-12
GL-0165,EMP-0048,DEPT-002,Complete product certification or professional qualification,0.1983,40.7,pct,2024-03-30
GL-0166,EMP-0048,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.1759,78.4,pct,2024-03-28
GL-0167,EMP-0048,DEPT-002,Drive measurable cost reduction in operational budget,0.3869,51.8,pct,2024-03-28
GL-0168,EMP-0048,DEPT-002,Reduce onboarding cycle time for new hires,0.2389,82.3,pct,2024-03-25
GL-0169,EMP-0049,DEPT-002,Deliver cross-functional project milestone,0.0392,60.9,pct,2024-03-17
GL-0170,EMP-0049,DEPT-002,Reduce process error rate by 10 percent,0.7296,79.1,pct,2024-03-31
GL-0171,EMP-0049,DEPT-002,Improve quarterly delivery velocity,0.2312,73.6,pct,2024-03-11
GL-0172,EMP-0050,DEPT-003,Complete mandatory compliance training,0.1565,61.9,pct,2024-03-31
GL-0173,EMP-0050,DEPT-003,Reduce onboarding cycle time for new hires,0.2891,41.8,pct,2024-03-22
GL-0174,EMP-0050,DEPT-003,Achieve 95-percent-plus stakeholder satisfaction score,0.0042,84.0,pct,2024-03-19
GL-0175,EMP-0050,DEPT-003,Implement one process automation initiative,0.5502,72.5,pct,2024-03-15
GL-0176,EMP-0051,DEPT-002,Drive measurable cost reduction in operational budget,0.1837,72.8,pct,2024-03-30
GL-0177,EMP-0051,DEPT-002,Reduce onboarding cycle time for new hires,0.2948,65.3,pct,2024-03-30
GL-0178,EMP-0051,DEPT-002,Implement one process automation initiative,0.0502,87.1,pct,2024-03-20
GL-0179,EMP-0051,DEPT-002,Reduce process error rate by 10 percent,0.0191,40.1,pct,2024-03-30
GL-0180,EMP-0051,DEPT-002,Improve quarterly delivery velocity,0.4522,85.7,pct,2024-03-17
GL-0181,EMP-0052,DEPT-002,Mentor two junior team members,0.0574,66.0,pct,2024-03-24
GL-0182,EMP-0052,DEPT-002,Establish weekly reporting cadence for executive team,0.3998,64.1,pct,2024-03-24
GL-0183,EMP-0052,DEPT-002,Reduce onboarding cycle time for new hires,0.0109,68.2,pct,2024-03-31
GL-0184,EMP-0052,DEPT-002,Reduce process error rate by 10 percent,0.5318,83.0,pct,2024-03-18
GL-0185,EMP-0053,DEPT-002,Complete mandatory compliance training,0.0062,65.7,pct,2024-03-12
GL-0186,EMP-0053,DEPT-002,Deliver cross-functional project milestone,0.1485,92.0,pct,2024-03-26
GL-0187,EMP-0053,DEPT-002,Reduce process error rate by 10 percent,0.4031,89.0,pct,2024-03-24
GL-0188,EMP-0053,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.338,77.2,pct,2024-03-11
GL-0189,EMP-0053,DEPT-002,Mentor two junior team members,0.1042,61.5,pct,2024-03-27
GL-0190,EMP-0054,DEPT-004,Drive measurable cost reduction in operational budget,0.1579,68.1,pct,2024-03-28
GL-0191,EMP-0054,DEPT-004,Complete mandatory compliance training,0.1917,65.8,pct,2024-03-27
GL-0192,EMP-0054,DEPT-004,Improve quarterly delivery velocity,0.6504,70.6,pct,2024-03-11
GL-0193,EMP-0055,DEPT-003,Reduce process error rate by 10 percent,0.6203,92.3,pct,2024-03-22
GL-0194,EMP-0055,DEPT-003,Improve quarterly delivery velocity,0.1922,98.1,pct,2024-03-25
GL-0195,EMP-0055,DEPT-003,Achieve 95-percent-plus stakeholder satisfaction score,0.1875,84.5,pct,2024-03-07
GL-0196,EMP-0056,DEPT-003,Reduce onboarding cycle time for new hires,0.0816,94.2,pct,2024-03-20
GL-0197,EMP-0056,DEPT-003,Complete leadership development programme,0.4398,90.5,pct,2024-03-12
GL-0198,EMP-0056,DEPT-003,Reduce process error rate by 10 percent,0.3929,90.0,pct,2024-03-21
GL-0199,EMP-0056,DEPT-003,Improve quarterly delivery velocity,0.0857,71.7,pct,2024-03-20
GL-0200,EMP-0057,DEPT-002,Deliver cross-functional project milestone,0.3586,46.4,pct,2024-03-31
GL-0201,EMP-0057,DEPT-002,Complete mandatory compliance training,0.0367,52.3,pct,2024-03-17
GL-0202,EMP-0057,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.422,41.5,pct,2024-03-21
GL-0203,EMP-0057,DEPT-002,Reduce process error rate by 10 percent,0.1827,76.6,pct,2024-03-13
GL-0204,EMP-0058,DEPT-004,Drive measurable cost reduction in operational budget,0.0677,78.7,pct,2024-03-19
GL-0205,EMP-0058,DEPT-004,Achieve 95-percent-plus stakeholder satisfaction score,0.0873,75.6,pct,2024-03-28
GL-0206,EMP-0058,DEPT-004,Complete product certification or professional qualification,0.845,81.5,pct,2024-03-11
GL-0207,EMP-0059,DEPT-002,Reduce process error rate by 10 percent,0.2155,91.7,pct,2024-03-28
GL-0208,EMP-0059,DEPT-002,Improve quarterly delivery velocity,0.1515,76.7,pct,2024-03-14
GL-0209,EMP-0059,DEPT-002,Drive measurable cost reduction in operational budget,0.0188,67.8,pct,2024-03-25
GL-0210,EMP-0059,DEPT-002,Complete mandatory compliance training,0.6142,86.9,pct,2024-03-21
GL-0211,EMP-0060,DEPT-004,Deliver cross-functional project milestone,0.1875,86.4,pct,2024-03-20
GL-0212,EMP-0060,DEPT-004,Achieve 95-percent-plus stakeholder satisfaction score,0.1625,51.3,pct,2024-03-23
GL-0213,EMP-0060,DEPT-004,Reduce process error rate by 10 percent,0.1223,50.5,pct,2024-03-18
GL-0214,EMP-0060,DEPT-004,Mentor two junior team members,0.3547,58.2,pct,2024-03-21
GL-0215,EMP-0060,DEPT-004,Reduce onboarding cycle time for new hires,0.1729,48.2,pct,2024-03-24
GL-0216,EMP-0061,DEPT-002,Complete leadership development programme,0.0371,70.6,pct,2024-03-25
GL-0217,EMP-0061,DEPT-002,Mentor two junior team members,0.2121,61.7,pct,2024-03-19
GL-0218,EMP-0061,DEPT-002,Reduce process error rate by 10 percent,0.0878,64.5,pct,2024-03-23
GL-0219,EMP-0061,DEPT-002,Improve quarterly delivery velocity,0.491,76.0,pct,2024-03-31
GL-0220,EMP-0061,DEPT-002,Establish weekly reporting cadence for executive team,0.172,65.5,pct,2024-03-23
GL-0221,EMP-0062,DEPT-001,Mentor two junior team members,0.3315,51.2,pct,2024-03-14
GL-0222,EMP-0062,DEPT-001,Establish weekly reporting cadence for executive team,0.1399,43.7,pct,2024-03-22
GL-0223,EMP-0062,DEPT-001,Complete product certification or professional qualification,0.3772,98.4,pct,2024-03-07
GL-0224,EMP-0062,DEPT-001,Complete mandatory compliance training,0.1514,59.1,pct,2024-03-27
GL-0225,EMP-0063,DEPT-001,Achieve 95-percent-plus stakeholder satisfaction score,0.0313,73.5,pct,2024-03-16
GL-0226,EMP-0063,DEPT-001,Reduce onboarding cycle time for new hires,0.0171,52.1,pct,2024-03-13
GL-0227,EMP-0063,DEPT-001,Establish weekly reporting cadence for executive team,0.8886,84.2,pct,2024-03-17
GL-0228,EMP-0063,DEPT-001,Complete leadership development programme,0.0504,76.0,pct,2024-03-31
GL-0229,EMP-0063,DEPT-001,Deliver cross-functional project milestone,0.0126,52.8,pct,2024-03-15
GL-0230,EMP-0064,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.1038,86.1,pct,2024-03-23
GL-0231,EMP-0064,DEPT-002,Implement one process automation initiative,0.2109,48.6,pct,2024-03-19
GL-0232,EMP-0064,DEPT-002,Reduce onboarding cycle time for new hires,0.3574,53.9,pct,2024-03-27
GL-0233,EMP-0064,DEPT-002,Complete mandatory compliance training,0.1779,80.9,pct,2024-03-25
GL-0234,EMP-0064,DEPT-002,Reduce process error rate by 10 percent,0.1499,71.2,pct,2024-03-10
GL-0235,EMP-0065,DEPT-001,Establish weekly reporting cadence for executive team,0.3949,72.2,pct,2024-03-26
GL-0236,EMP-0065,DEPT-001,Complete product certification or professional qualification,0.1244,52.7,pct,2024-03-12
GL-0237,EMP-0065,DEPT-001,Mentor two junior team members,0.4807,80.3,pct,2024-03-25
GL-0238,EMP-0066,DEPT-002,Establish weekly reporting cadence for executive team,0.0741,53.7,pct,2024-03-28
GL-0239,EMP-0066,DEPT-002,Deliver cross-functional project milestone,0.0161,95.9,pct,2024-03-29
GL-0240,EMP-0066,DEPT-002,Complete leadership development programme,0.7889,57.1,pct,2024-03-27
GL-0241,EMP-0066,DEPT-002,Complete product certification or professional qualification,0.034,52.4,pct,2024-03-11
GL-0242,EMP-0066,DEPT-002,Reduce onboarding cycle time for new hires,0.087,53.3,pct,2024-03-30
GL-0243,EMP-0067,DEPT-001,Complete leadership development programme,0.4258,92.7,pct,2024-03-25
GL-0244,EMP-0067,DEPT-001,Complete mandatory compliance training,0.008,98.9,pct,2024-03-07
GL-0245,EMP-0067,DEPT-001,Reduce onboarding cycle time for new hires,0.5662,89.9,pct,2024-03-13
GL-0246,EMP-0068,DEPT-002,Establish weekly reporting cadence for executive team,0.6039,47.8,pct,2024-03-24
GL-0247,EMP-0068,DEPT-002,Implement one process automation initiative,0.1394,53.2,pct,2024-03-23
GL-0248,EMP-0068,DEPT-002,Complete product certification or professional qualification,0.2567,76.3,pct,2024-03-13
GL-0249,EMP-0069,DEPT-001,Complete leadership development programme,0.1857,46.5,pct,2024-03-18
GL-0250,EMP-0069,DEPT-001,Achieve 95-percent-plus stakeholder satisfaction score,0.4542,49.0,pct,2024-03-21
GL-0251,EMP-0069,DEPT-001,Reduce onboarding cycle time for new hires,0.0268,50.4,pct,2024-03-26
GL-0252,EMP-0069,DEPT-001,Mentor two junior team members,0.1743,99.8,pct,2024-03-28
GL-0253,EMP-0069,DEPT-001,Complete mandatory compliance training,0.159,79.1,pct,2024-03-15
GL-0254,EMP-0070,DEPT-004,Deliver cross-functional project milestone,0.3915,80.2,pct,2024-03-21
GL-0255,EMP-0070,DEPT-004,Mentor two junior team members,0.2432,92.3,pct,2024-03-19
GL-0256,EMP-0070,DEPT-004,Complete leadership development programme,0.2249,40.5,pct,2024-03-09
GL-0257,EMP-0070,DEPT-004,Complete product certification or professional qualification,0.0922,95.1,pct,2024-03-13
GL-0258,EMP-0070,DEPT-004,Improve quarterly delivery velocity,0.0482,73.7,pct,2024-03-28
GL-0259,EMP-0071,DEPT-004,Implement one process automation initiative,0.0301,73.0,pct,2024-03-23
GL-0260,EMP-0071,DEPT-004,Mentor two junior team members,0.0134,62.7,pct,2024-03-21
