vendor_id,vendor_name,address,city,state,zip_code,tax_id_last4,business_unit,registration_date,status,contact_email
V-L033,Gulf Coast Logistics,700 Louisiana St,Houston,TX,77002,4472,BU_SOUTH,2020-10-30,Active,logistics@gulfcoastlog.com
V-1002,Pinnac1e Solutions Int'l,1200 N. Michigan Avenue Suite 400,Chicago,IL,60611,7832,BU_EAST,2021-02-12,Active,billing@pinnaclesolutions.net
V-L008,Colonial Cleaning Services,32 Exchange Pl,Providence,RI,02903,9903,BU_EAST,2020-07-10,Active,service@colonialcleaning.com
V-1003,PINNACLE S0LUTI0NS INTL,1200 North Michigan Ave #400,Chicago,IL,60611,7823,BU_NORTH,2020-10-16,Active,accounts@pinnacle-sol.com
V-L028,Iron Range Equipment,500 Nicollet Mall,Minneapolis,MN,55402,9917,BU_NORTH,2022-02-11,Active,equip@ironrangeequip.com
V-L026,Heartland Data Solutions,400 E Court Ave,Des Moines,IA,50309,7795,BU_NORTH,2021-08-05,Active,data@heartlandsolutions.com
V-L022,Midwest Manufacturing Co,200 E Randolph St,Chicago,IL,60601,3351,BU_NORTH,2019-04-06,Active,orders@midwestmfg.com
V-L010,Acme Solutions LLC,500 Park Ave Ste 201,New York,NY,10022,1120,BU_EAST,2022-10-22,Active,ap@acmesolutions.com
V-L030,Badger Office Products,10 E Doty St,Madison,WI,53703,1139,BU_NORTH,2020-06-15,Active,sales@badgeroffice.com
V-5001,Westfie1d Consu1ting Group,191 Peachtree St NE Ste 3000,Atlanta,GA,30303,6601,BU_SOUTH,2020-06-10,Active,invoicing@westfieldcg.com
V-L009,Acme Corp,500 Park Ave,New York,NY,10022,1119,BU_EAST,2019-10-01,Active,billing@acmecorp.com
V-L005,Harbor Technology Corp,1 Federal St,Boston,MA,02110,6673,BU_EAST,2022-06-13,Active,ap@harbortech.com
V-L040,Carolina Facilities Mgmt,128 S Tryon St,Charlotte,NC,28202,1149,BU_SOUTH,2020-12-01,Active,facilities@carolinamgmt.com
V-L007,Prime Materials Inc,88 Lexington Ave,New York,NY,10016,8891,BU_EAST,2021-01-20,Active,orders@primematerials.com
V-3003,0RI0N TECHN0L0GY SERVICES,"2500 Tech Dr, San Jose",San Jose,CA,95110,9182,BU_EAST,2020-11-28,Active,finance@oriontech.co
V-L029,Central Plains Shipping,800 Main St,Kansas City,MO,64105,1028,BU_NORTH,2021-11-16,Active,logistics@centralplains.com
V-L001,Pinnacle Enterprises Inc,350 Fifth Ave,New York,NY,10118,2210,BU_EAST,2021-12-12,Active,ap@pinnacle-ent.com
V-L015,Golden Gate Consulting,101 California St,San Francisco,CA,94111,6678,BU_WEST,2021-03-29,Active,billing@goldgateconsulting.com
V-L038,Lone Star Supply Chain,2200 Ross Ave,Dallas,TX,75201,9927,BU_SOUTH,2019-10-19,Active,supply@lonestarsupply.com
V-L025,Lakeshore Maintenance,1 Woodward Ave,Detroit,MI,48226,6684,BU_NORTH,2020-02-20,Active,maint@lakeshoremaint.com
