work_package_id,project_id,control_account_id,work_package_name,discipline,work_type,ev_technique,completion_status,planned_start_date,planned_finish_date,actual_start_date,actual_finish_date,phase,risk_level,procurement_method,technical_category,responsible_engineer,specification_reference,drawing_number,inspection_class,environmental_permit_required,safety_classification,location_code,subcontractor_id,notes,wbs_level,wp_global_seq
WP-020,P001,CA-P001-04,Environmental WP 05 — Testing & Commissioning,Environmental,Management,percent_complete,in_progress,2023-11-04,2024-03-11,2023-10-31,,Testing & Commissioning,Low,Direct Labor,Geotechnical,ENG-P001-0020,SPEC-P001-020-REV1,DWG-P001-04-005,A,False,High,LOC-P001-189,,Schedule risk,3,20
WP-021,P001,CA-P001-05,I&C WP 01 — Close-Out,I&C,Testing,0_100,complete,2023-10-15,2024-08-06,2023-10-16,2024-08-20,Close-Out,Critical,Purchase Order,Structural,ENG-P001-0021,SPEC-P001-021-REV3,DWG-P001-05-001,B,False,High,LOC-P001-870,,,3,21
WP-022,P001,CA-P001-05,I&C WP 02 — Close-Out,I&C,Engineering,percent_complete,in_progress,2023-11-11,2024-06-12,2023-11-11,,Close-Out,Low,Subcontract,I&C,ENG-P001-0022,SPEC-P001-022-REV1,DWG-P001-05-002,B,False,Elevated,LOC-P001-762,SUB-3947,,3,22
WP-023,P001,CA-P001-05,I&C WP 03 — Close-Out,I&C,Management,0_100,in_progress,2023-10-15,2024-02-23,2023-10-26,,Close-Out,Critical,Subcontract,Electrical,ENG-P001-0023,SPEC-P001-023-REV2,DWG-P001-05-003,C,False,High,LOC-P001-281,,,3,23
WP-024,P001,CA-P001-05,I&C WP 04 — Close-Out,I&C,Testing,0_100,in_progress,2023-11-19,2024-02-04,2023-11-20,,Close-Out,High,Purchase Order,Geotechnical,ENG-P001-0024,SPEC-P001-024-REV3,DWG-P001-05-004,A,False,Elevated,LOC-P001-185,,,3,24
WP-025,P001,CA-P001-05,I&C WP 05 — Close-Out,I&C,Procurement,0_100,complete,2023-11-01,2024-08-12,2023-11-11,2024-08-06,Close-Out,High,Subcontract,Geotechnical,ENG-P001-0025,SPEC-P001-025-REV3,DWG-P001-05-005,C,False,Standard,LOC-P001-327,,,3,25
WP-026,P001,CA-P001-06,I&C WP 01 — Detailed Design,I&C,Engineering,percent_complete,in_progress,2023-11-01,2024-05-27,2023-10-30,,Detailed Design,Medium,Subcontract,Environmental,ENG-P001-0026,SPEC-P001-026-REV2,DWG-P001-06-001,C,False,High,LOC-P001-565,,Schedule risk,3,26
WP-027,P001,CA-P001-06,I&C WP 02 — Detailed Design,I&C,Procurement,percent_complete,in_progress,2023-10-31,2024-07-20,2023-10-28,,Detailed Design,High,Purchase Order,Electrical,ENG-P001-0027,SPEC-P001-027-REV3,DWG-P001-06-002,C,False,High,LOC-P001-399,,Pending permit,3,27
WP-028,P001,CA-P001-06,I&C WP 03 — Detailed Design,I&C,Procurement,percent_complete,in_progress,2023-11-08,2024-03-12,2023-11-19,,Detailed Design,Critical,Direct Labor,Civil,ENG-P001-0028,SPEC-P001-028-REV3,DWG-P001-06-003,B,False,Elevated,LOC-P001-215,,Schedule risk,3,28
WP-029,P001,CA-P001-06,I&C WP 04 — Detailed Design,I&C,Testing,percent_complete,in_progress,2023-11-14,2024-04-08,2023-11-25,,Detailed Design,Critical,Direct Labor,Environmental,ENG-P001-0029,SPEC-P001-029-REV3,DWG-P001-06-004,C,True,Standard,LOC-P001-864,,,3,29
WP-030,P001,CA-P001-06,I&C WP 05 — Detailed Design,I&C,Commissioning,percent_complete,in_progress,2023-10-30,2024-05-18,2023-10-25,,Detailed Design,High,Rental,Electrical,ENG-P001-0030,SPEC-P001-030-REV1,DWG-P001-06-005,C,False,Elevated,LOC-P001-110,,Pending permit,3,30
WP-031,P001,CA-P001-07,Geotechnical WP 01 — Procurement,Geotechnical,Engineering,0_100,complete,2023-10-19,2024-04-27,2023-10-16,2024-05-08,Procurement,Critical,Rental,Civil,ENG-P001-0031,SPEC-P001-031-REV1,DWG-P001-07-001,B,False,High,LOC-P001-222,SUB-6850,Material on order,3,31
WP-032,P001,CA-P001-07,Geotechnical WP 02 — Procurement,Geotechnical,Commissioning,percent_complete,complete,2023-11-22,2024-01-27,2023-11-22,2024-01-24,Procurement,Low,Direct Labor,Architectural,ENG-P001-0032,SPEC-P001-032-REV1,DWG-P001-07-002,B,True,Standard,LOC-P001-104,SUB-8379,Material on order,3,32
WP-033,P001,CA-P001-07,Geotechnical WP 03 — Procurement,Geotechnical,Commissioning,0_100,in_progress,2023-11-06,2024-08-24,2023-11-06,,Procurement,Critical,Rental,Architectural,ENG-P001-0033,SPEC-P001-033-REV1,DWG-P001-07-003,C,False,High,LOC-P001-853,SUB-5105,,3,33
WP-034,P001,CA-P001-07,Geotechnical WP 04 — Procurement,Geotechnical,Management,0_100,complete,2023-10-13,2024-05-28,2023-10-18,2024-05-20,Procurement,Medium,Direct Labor,Geotechnical,ENG-P001-0034,SPEC-P001-034-REV3,DWG-P001-07-004,A,False,Standard,LOC-P001-189,,,3,34
WP-035,P001,CA-P001-07,Geotechnical WP 05 — Procurement,Geotechnical,Engineering,percent_complete,in_progress,2023-11-13,2024-05-13,2023-11-09,,Procurement,Critical,Subcontract,Environmental,ENG-P001-0035,SPEC-P001-035-REV2,DWG-P001-07-005,A,True,High,LOC-P001-264,,,3,35
WP-036,P001,CA-P001-08,I&C WP 01 — Procurement,I&C,Testing,percent_complete,in_progress,2023-11-03,2024-07-08,2023-11-03,,Procurement,Low,Rental,I&C,ENG-P001-0036,SPEC-P001-036-REV1,DWG-P001-08-001,B,False,Elevated,LOC-P001-331,,,3,36
WP-037,P001,CA-P001-08,I&C WP 02 — Procurement,I&C,Construction,percent_complete,in_progress,2023-11-09,2024-04-28,2023-11-14,,Procurement,Low,Rental,Structural,ENG-P001-0037,SPEC-P001-037-REV3,DWG-P001-08-002,A,False,Elevated,LOC-P001-484,,,3,37
WP-038,P001,CA-P001-08,I&C WP 03 — Procurement,I&C,Procurement,percent_complete,in_progress,2023-11-29,2024-05-06,2023-11-27,,Procurement,High,Subcontract,Architectural,ENG-P001-0038,SPEC-P001-038-REV1,DWG-P001-08-003,A,False,Elevated,LOC-P001-232,,,3,38
WP-039,P001,CA-P001-08,I&C WP 04 — Procurement,I&C,Engineering,percent_complete,complete,2023-10-14,2024-05-03,2023-10-23,2024-05-12,Procurement,Low,Rental,Mechanical,ENG-P001-0039,SPEC-P001-039-REV2,DWG-P001-08-004,A,False,Elevated,LOC-P001-573,,Pending permit,3,39
WP-040,P001,CA-P001-08,I&C WP 05 — Procurement,I&C,Commissioning,0_100,in_progress,2023-10-23,2024-05-04,2023-11-05,,Procurement,High,Subcontract,Geotechnical,ENG-P001-0040,SPEC-P001-040-REV1,DWG-P001-08-005,A,False,Elevated,LOC-P001-544,SUB-1503,Material on order,3,40
WP-001,P002,CA-P002-01,Civil WP 01 — Close-Out,Civil,Procurement,percent_complete,in_progress,2023-10-05,2024-06-19,2023-10-01,,Close-Out,Low,Purchase Order,Mechanical,ENG-P002-0041,SPEC-P002-001-REV1,DWG-P002-01-001,C,True,Elevated,LOC-P002-843,,,3,41
WP-002,P002,CA-P002-01,Civil WP 02 — Close-Out,Civil,Testing,percent_complete,in_progress,2023-11-13,2024-02-18,2023-11-13,,Close-Out,High,Rental,Civil,ENG-P002-0042,SPEC-P002-002-REV3,DWG-P002-01-002,B,False,High,LOC-P002-792,,,3,42
WP-003,P002,CA-P002-01,Civil WP 03 — Close-Out,Civil,Commissioning,percent_complete,in_progress,2023-11-11,2024-08-20,2023-11-19,,Close-Out,High,Subcontract,Structural,ENG-P002-0043,SPEC-P002-003-REV3,DWG-P002-01-003,A,False,High,LOC-P002-989,,Material on order,3,43
WP-004,P002,CA-P002-01,Civil WP 04 — Close-Out,Civil,Construction,percent_complete,in_progress,2023-11-18,2024-09-11,2023-11-26,,Close-Out,Medium,Direct Labor,Geotechnical,ENG-P002-0044,SPEC-P002-004-REV3,DWG-P002-01-004,A,False,Elevated,LOC-P002-926,SUB-2355,Schedule risk,3,44
WP-005,P002,CA-P002-01,Civil WP 05 — Close-Out,Civil,Engineering,percent_complete,in_progress,2023-11-27,2024-02-05,2023-12-05,,Close-Out,Critical,Purchase Order,Environmental,ENG-P002-0045,SPEC-P002-005-REV2,DWG-P002-01-005,A,True,Standard,LOC-P002-855,,,3,45
WP-006,P002,CA-P002-02,Geotechnical WP 01 — Detailed Design,Geotechnical,Commissioning,0_100,in_progress,2023-11-21,2024-04-27,2023-11-30,,Detailed Design,Medium,Purchase Order,I&C,ENG-P002-0046,SPEC-P002-006-REV3,DWG-P002-02-001,B,False,Standard,LOC-P002-533,,Material on order,3,46
WP-007,P002,CA-P002-02,Geotechnical WP 02 — Detailed Design,Geotechnical,Procurement,percent_complete,complete,2023-10-23,2024-04-21,2023-10-27,2024-05-09,Detailed Design,Medium,Purchase Order,Electrical,ENG-P002-0047,SPEC-P002-007-REV3,DWG-P002-02-002,B,True,Standard,LOC-P002-458,,,3,47
WP-008,P002,CA-P002-02,Geotechnical WP 03 — Detailed Design,Geotechnical,Procurement,percent_complete,in_progress,2023-10-24,2024-02-03,2023-10-19,,Detailed Design,High,Rental,Environmental,ENG-P002-0048,SPEC-P002-008-REV2,DWG-P002-02-003,B,False,Standard,LOC-P002-609,SUB-1065,Pending permit,3,48
WP-009,P002,CA-P002-02,Geotechnical WP 04 — Detailed Design,Geotechnical,Management,percent_complete,in_progress,2023-11-02,2024-06-01,2023-11-11,,Detailed Design,Critical,Rental,Environmental,ENG-P002-0049,SPEC-P002-009-REV3,DWG-P002-02-004,B,False,High,LOC-P002-660,,,3,49
WP-010,P002,CA-P002-02,Geotechnical WP 05 — Detailed Design,Geotechnical,Management,percent_complete,in_progress,2023-11-17,2024-05-17,2023-11-27,,Detailed Design,High,Subcontract,Architectural,ENG-P002-0050,SPEC-P002-010-REV1,DWG-P002-02-005,C,False,High,LOC-P002-759,,,3,50
WP-011,P002,CA-P002-03,Structural WP 01 — Testing & Commissioning,Structural,Construction,0_100,in_progress,2023-10-01,2023-12-29,2023-10-02,,Testing & Commissioning,Critical,Rental,Geotechnical,ENG-P002-0051,SPEC-P002-011-REV2,DWG-P002-03-001,A,False,High,LOC-P002-166,SUB-8142,,3,51
WP-012,P002,CA-P002-03,Structural WP 02 — Testing & Commissioning,Structural,Management,0_100,in_progress,2023-11-02,2024-07-12,2023-11-02,,Testing & Commissioning,Low,Subcontract,Architectural,ENG-P002-0052,SPEC-P002-012-REV1,DWG-P002-03-002,B,False,Standard,LOC-P002-785,,Material on order,3,52
WP-013,P002,CA-P002-03,Structural WP 03 — Testing & Commissioning,Structural,Management,0_100,in_progress,2023-11-13,2024-07-08,2023-11-23,,Testing & Commissioning,Low,Direct Labor,I&C,ENG-P002-0053,SPEC-P002-013-REV1,DWG-P002-03-003,C,True,High,LOC-P002-562,,,3,53
WP-014,P002,CA-P002-03,Structural WP 04 — Testing & Commissioning,Structural,Management,percent_complete,in_progress,2023-11-16,2024-04-20,2023-11-25,,Testing & Commissioning,Medium,Rental,I&C,ENG-P002-0054,SPEC-P002-014-REV2,DWG-P002-03-004,C,False,High,LOC-P002-737,SUB-6312,,3,54
WP-015,P002,CA-P002-03,Structural WP 05 — Testing & Commissioning,Structural,Engineering,percent_complete,in_progress,2023-11-03,2024-08-02,2023-11-16,,Testing & Commissioning,Medium,Purchase Order,Electrical,ENG-P002-0055,SPEC-P002-015-REV3,DWG-P002-03-005,B,False,High,LOC-P002-796,SUB-4671,,3,55
WP-016,P002,CA-P002-04,Civil WP 01 — Procurement,Civil,Commissioning,percent_complete,in_progress,2023-10-12,2024-08-07,2023-10-24,,Procurement,Medium,Rental,Structural,ENG-P002-0056,SPEC-P002-016-REV2,DWG-P002-04-001,B,False,Standard,LOC-P002-174,SUB-1604,,3,56
WP-017,P002,CA-P002-04,Civil WP 02 — Procurement,Civil,Testing,percent_complete,in_progress,2023-10-19,2024-04-05,2023-11-03,,Procurement,Critical,Rental,Architectural,ENG-P002-0057,SPEC-P002-017-REV3,DWG-P002-04-002,B,False,Elevated,LOC-P002-411,SUB-9072,,3,57
WP-018,P002,CA-P002-04,Civil WP 03 — Procurement,Civil,Testing,0_100,in_progress,2023-11-24,2024-08-29,2023-11-25,,Procurement,High,Purchase Order,Civil,ENG-P002-0058,SPEC-P002-018-REV1,DWG-P002-04-003,C,False,Standard,LOC-P002-259,,,3,58
WP-019,P002,CA-P002-04,Civil WP 04 — Procurement,Civil,Procurement,0_100,complete,2023-10-10,2023-12-23,2023-10-16,2024-01-01,Procurement,Critical,Subcontract,Architectural,ENG-P002-0059,SPEC-P002-019-REV3,DWG-P002-04-004,B,False,High,LOC-P002-703,,,3,59
WP-020,P002,CA-P002-04,Civil WP 05 — Procurement,Civil,Management,percent_complete,complete,2023-11-25,2024-03-05,2023-12-01,2024-03-04,Procurement,Critical,Purchase Order,Architectural,ENG-P002-0060,SPEC-P002-020-REV2,DWG-P002-04-005,A,False,Standard,LOC-P002-764,SUB-1926,,3,60
WP-021,P002,CA-P002-05,Environmental WP 01 — Testing & Commissioning,Environmental,Procurement,percent_complete,in_progress,2023-11-04,2024-01-18,2023-11-19,,Testing & Commissioning,Low,Direct Labor,Geotechnical,ENG-P002-0061,SPEC-P002-021-REV1,DWG-P002-05-001,B,True,Elevated,LOC-P002-907,SUB-7283,,3,61
WP-022,P002,CA-P002-05,Environmental WP 02 — Testing & Commissioning,Environmental,Procurement,percent_complete,in_progress,2023-10-30,2024-04-01,2023-10-29,,Testing & Commissioning,Medium,Rental,Structural,ENG-P002-0062,SPEC-P002-022-REV1,DWG-P002-05-002,A,False,Elevated,LOC-P002-126,,Pending permit,3,62
WP-023,P002,CA-P002-05,Environmental WP 03 — Testing & Commissioning,Environmental,Testing,percent_complete,in_progress,2023-10-21,2024-04-10,2023-11-02,,Testing & Commissioning,Low,Rental,Electrical,ENG-P002-0063,SPEC-P002-023-REV3,DWG-P002-05-003,C,True,High,LOC-P002-397,,,3,63
WP-024,P002,CA-P002-05,Environmental WP 04 — Testing & Commissioning,Environmental,Commissioning,percent_complete,in_progress,2023-10-31,2024-04-19,2023-11-13,,Testing & Commissioning,Medium,Direct Labor,Civil,ENG-P002-0064,SPEC-P002-024-REV3,DWG-P002-05-004,A,True,Standard,LOC-P002-834,SUB-1281,,3,64
WP-025,P002,CA-P002-05,Environmental WP 05 — Testing & Commissioning,Environmental,Procurement,percent_complete,complete,2023-10-30,2024-02-25,2023-10-26,2024-03-03,Testing & Commissioning,Low,Subcontract,Geotechnical,ENG-P002-0065,SPEC-P002-025-REV2,DWG-P002-05-005,B,True,High,LOC-P002-794,,,3,65
WP-026,P002,CA-P002-06,Mechanical WP 01 — Procurement,Mechanical,Procurement,percent_complete,not_started,2023-10-16,2024-07-23,,,Procurement,Low,Subcontract,Environmental,ENG-P002-0066,SPEC-P002-026-REV3,DWG-P002-06-001,A,False,Standard,LOC-P002-201,SUB-6406,,3,66
WP-027,P002,CA-P002-06,Mechanical WP 02 — Procurement,Mechanical,Construction,percent_complete,in_progress,2023-11-08,2024-03-23,2023-11-20,,Procurement,Medium,Direct Labor,Environmental,ENG-P002-0067,SPEC-P002-027-REV1,DWG-P002-06-002,B,False,High,LOC-P002-371,SUB-7646,Material on order,3,67
WP-028,P002,CA-P002-06,Mechanical WP 03 — Procurement,Mechanical,Construction,percent_complete,complete,2023-10-10,2024-04-30,2023-10-09,2024-04-23,Procurement,Low,Rental,I&C,ENG-P002-0068,SPEC-P002-028-REV1,DWG-P002-06-003,C,True,High,LOC-P002-114,,,3,68
WP-029,P002,CA-P002-06,Mechanical WP 04 — Procurement,Mechanical,Management,0_100,in_progress,2023-10-24,2024-01-22,2023-10-31,,Procurement,Low,Purchase Order,Structural,ENG-P002-0069,SPEC-P002-029-REV1,DWG-P002-06-004,C,False,Standard,LOC-P002-218,,Material on order,3,69
WP-030,P002,CA-P002-06,Mechanical WP 05 — Procurement,Mechanical,Management,percent_complete,in_progress,2023-10-18,2024-01-31,2023-10-13,,Procurement,Critical,Rental,Mechanical,ENG-P002-0070,SPEC-P002-030-REV2,DWG-P002-06-005,B,False,Elevated,LOC-P002-456,,Pending permit,3,70
WP-031,P002,CA-P002-07,I&C WP 01 — Testing & Commissioning,I&C,Commissioning,0_100,in_progress,2023-11-16,2024-05-30,2023-11-16,,Testing & Commissioning,Critical,Purchase Order,Architectural,ENG-P002-0071,SPEC-P002-031-REV1,DWG-P002-07-001,A,False,High,LOC-P002-484,SUB-4671,Material on order,3,71
WP-032,P002,CA-P002-07,I&C WP 02 — Testing & Commissioning,I&C,Commissioning,percent_complete,not_started,2023-11-10,2024-04-13,,,Testing & Commissioning,Medium,Direct Labor,Environmental,ENG-P002-0072,SPEC-P002-032-REV1,DWG-P002-07-002,C,False,High,LOC-P002-319,,Pending permit,3,72
WP-033,P002,CA-P002-07,I&C WP 03 — Testing & Commissioning,I&C,Construction,percent_complete,in_progress,2023-10-13,2024-05-15,2023-10-26,,Testing & Commissioning,High,Purchase Order,Environmental,ENG-P002-0073,SPEC-P002-033-REV2,DWG-P002-07-003,C,False,Elevated,LOC-P002-194,,Material on order,3,73
WP-034,P002,CA-P002-07,I&C WP 04 — Testing & Commissioning,I&C,Procurement,percent_complete,complete,2023-11-22,2024-07-31,2023-11-27,2024-07-24,Testing & Commissioning,Low,Direct Labor,Architectural,ENG-P002-0074,SPEC-P002-034-REV3,DWG-P002-07-004,B,False,High,LOC-P002-897,SUB-6639,,3,74
WP-035,P002,CA-P002-07,I&C WP 05 — Testing & Commissioning,I&C,Management,percent_complete,complete,2023-10-20,2024-05-04,2023-10-27,2024-05-11,Testing & Commissioning,High,Subcontract,Civil,ENG-P002-0075,SPEC-P002-035-REV1,DWG-P002-07-005,B,False,Elevated,LOC-P002-791,SUB-2179,,3,75
WP-036,P002,CA-P002-08,Architectural WP 01 — Procurement,Architectural,Management,percent_complete,in_progress,2023-10-03,2024-02-21,2023-09-28,,Procurement,Medium,Rental,I&C,ENG-P002-0076,SPEC-P002-036-REV3,DWG-P002-08-001,B,True,Standard,LOC-P002-977,,,3,76
WP-037,P002,CA-P002-08,Architectural WP 02 — Procurement,Architectural,Construction,percent_complete,in_progress,2023-10-12,2024-03-29,2023-10-12,,Procurement,Critical,Direct Labor,Environmental,ENG-P002-0077,SPEC-P002-037-REV3,DWG-P002-08-002,B,True,Standard,LOC-P002-326,SUB-3813,Material on order,3,77
WP-038,P002,CA-P002-08,Architectural WP 03 — Procurement,Architectural,Procurement,0_100,not_started,2023-11-16,2024-07-19,,,Procurement,Critical,Purchase Order,Civil,ENG-P002-0078,SPEC-P002-038-REV2,DWG-P002-08-003,A,False,Standard,LOC-P002-597,SUB-8347,,3,78
WP-039,P002,CA-P002-08,Architectural WP 04 — Procurement,Architectural,Procurement,percent_complete,in_progress,2023-11-21,2024-04-26,2023-11-27,,Procurement,Low,Direct Labor,Geotechnical,ENG-P002-0079,SPEC-P002-039-REV2,DWG-P002-08-004,B,False,High,LOC-P002-366,SUB-8516,Pending permit,3,79
WP-040,P002,CA-P002-08,Architectural WP 05 — Procurement,Architectural,Procurement,percent_complete,not_started,2023-10-25,2023-12-31,,,Procurement,Low,Direct Labor,Architectural,ENG-P002-0080,SPEC-P002-040-REV3,DWG-P002-08-005,A,False,Standard,LOC-P002-860,SUB-6855,,3,80
WP-001,P003,CA-P003-01,Electrical WP 01 — Close-Out,Electrical,Management,0_100,complete,2023-10-26,2024-02-07,2023-10-26,2024-02-14,Close-Out,High,Subcontract,I&C,ENG-P003-0081,SPEC-P003-001-REV2,DWG-P003-01-001,C,True,Standard,LOC-P003-366,,Material on order,3,81
WP-002,P003,CA-P003-01,Electrical WP 02 — Close-Out,Electrical,Procurement,percent_complete,in_progress,2023-10-10,2023-12-09,2023-10-21,,Close-Out,High,Subcontract,I&C,ENG-P003-0082,SPEC-P003-002-REV3,DWG-P003-01-002,B,True,Elevated,LOC-P003-212,,,3,82
WP-003,P003,CA-P003-01,Electrical WP 03 — Close-Out,Electrical,Construction,percent_complete,in_progress,2023-11-20,2024-09-04,2023-11-18,,Close-Out,Low,Subcontract,Geotechnical,ENG-P003-0083,SPEC-P003-003-REV1,DWG-P003-01-003,B,False,Standard,LOC-P003-101,,,3,83
WP-004,P003,CA-P003-01,Electrical WP 04 — Close-Out,Electrical,Management,percent_complete,in_progress,2023-10-20,2024-08-08,2023-10-23,,Close-Out,Critical,Direct Labor,Geotechnical,ENG-P003-0084,SPEC-P003-004-REV3,DWG-P003-01-004,C,False,High,LOC-P003-237,,,3,84
WP-005,P003,CA-P003-01,Electrical WP 05 — Close-Out,Electrical,Construction,0_100,complete,2023-11-04,2024-01-15,2023-11-18,2024-01-15,Close-Out,Critical,Purchase Order,Geotechnical,ENG-P003-0085,SPEC-P003-005-REV3,DWG-P003-01-005,A,False,Elevated,LOC-P003-493,,,3,85
WP-006,P003,CA-P003-02,Civil WP 01 — Testing & Commissioning,Civil,Engineering,percent_complete,in_progress,2023-11-03,2024-08-28,2023-11-03,,Testing & Commissioning,Critical,Direct Labor,Electrical,ENG-P003-0086,SPEC-P003-006-REV1,DWG-P003-02-001,C,False,Elevated,LOC-P003-237,SUB-9295,Pending permit,3,86
WP-007,P003,CA-P003-02,Civil WP 02 — Testing & Commissioning,Civil,Testing,percent_complete,in_progress,2023-11-13,2024-05-02,2023-11-14,,Testing & Commissioning,High,Rental,I&C,ENG-P003-0087,SPEC-P003-007-REV2,DWG-P003-02-002,B,False,Standard,LOC-P003-986,SUB-8613,,3,87
